org,count
SOFTLAYER,83
TELEFONICA CHILE S.A.,82
Telecom Argentina S.A.,82
LIQUIDWEB,81
SHAW,80
Consortium GARR,80
SPRINTLINK,79
IS-AS-1,79
Supernap Thailand Company Limited,79
Magyar Telekom plc.,78
IU-RESEARCH,78
COGECO-PEER1,78
YISU CLOUD LTD,78
PEGTECHINC-AP-01,77
ROGERS-COMMUNICATIONS,77
Duocast B.V.,77
Cooperatie Royal FloraHolland U.A.,76
Orange Espagne SA,75
Sony Network Communications Inc.,75
UpCloud Ltd,75
HGC Global Communications Limited,75
National Taiwan University,74
Ningxia West Cloud Data Technology Co.Ltd.,74
PEGTECHINC-AP-02,73
DMIT,73
CHINATELECOM Jiangsu province Suzhou 5G network,73
RM Education Ltd,73
Hosting 2 GO B.V.,72
"Shanghai Blue Cloud Technology Co.,Ltd",72
"UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD",71
"High Family Technology Co., Limited",71
IP-Projects GmbH & Co. KG,70
Saudi Telecom Company JSC,70
LUCIDACLOUD LIMITED,70
ARTERIA Networks Corporation,69
Liberty Global B.V.,69
JSC IOT,69
SunMoon University,69
Quickline AG,68
FLY,68
Aruba S.p.A.,68
Binariang Berhad,68
MyRepublic Ltd.,67
Bradler & Krantz GmbH & Co. KG,67
True Online,67
manitu GmbH,66
AUTOMATTIC,66
CHINANET NINGXIA province ZHONGWEI IDC network,66
Beyond.pl sp. z o.o.,66
PEGTECHINC,65
Clayer Limited,65
TWC-11427-TEXAS,64
China TieTong Telecommunications Corporation,64
Telenor Norge AS,64
OTEnet S.A.,63
Shandong Mobile Communication Company Limited,63
VH Global Limited,62
IMH-IAD,62
Xserver Inc.,61
National Internet Backbone,61
A2HOSTING,61
Telia Company AB,60
webgo GmbH,60
SH.cz s.r.o.,60
HOSTWINDS,60
Zhihua Lu,59
PJSC Moscow city telephone network,58
GHOSTnet GmbH,58
Hostnet B.V.,58
ATL-CBEYOND,58
Societe Francaise Du Radiotelephone - SFR SA,57
Pohang University of Science and Technology,57
BHN-33363,56
AS-CMN,56
HOSTHATCH,56
CHINANET Nanjing Jishan IDC network,56
EWE-Tel GmbH,55
Totaalnet Internet Works B.V.,55
A1 Telekom Austria AG,55
Accenture B. V.,55
Vodafone Czech Republic a.s.,54
China Unicom Shenzen network,54
Computer Network Information Center,54
CHINANET Guangdong province network,54
"No.293,Wanbao Avenue",53
Plusnet GmbH,53
PONYNET,53
AS-WHOLESAIL,52
TDC Holding A/S,52
NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.,52
"Domain names registrar REG.RU, Ltd",52
Sky UK Limited,52
TNG Stadtnetz GmbH,51
INMOTION,50
Cellcom Fixed Line Communication L.P,50
Loopia AB,50
VIDEOTRON,50
CELLCO-PART,50
CL-794,50
UAB Interneto vizija,50
National Central University,49
Telefonica de Argentina,48
Sunrise GmbH,48
CHINANET SHAANXI province Cloud Base network,48
Telstra Corporation Ltd,48
PlusServer GmbH,48
PVimpelCom,48
Bahnhof AB,48
TWC-11351-NORTHEAST,47
TalkTalk,47
Starhub Ltd,47
ASN-QUADRANET-GLOBAL,47
Telenet BVBA,46
CESNET z.s.p.o.,46
OOO WestCall Ltd.,45
LEVEL3,45
myLoc managed IT AG,45
RELIABLESITE,45
Afrihost,45
MobileOne Ltd. MobileInternet Service Provider Singapore,45
China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch,45
TimeWeb Ltd.,44
PT Telekomunikasi Indonesia,44
Softbank BB Corp.,44
XTOM,44
xTom,44
SWITCH,44
Orange Polska Spolka Akcyjna,43
REGION16-ESC,43
NJIX,43
TWC-11426-CAROLINAS,43
Cgi Global Limited,42
M247 Europe SRL,42
Elisa Oyj,42
Hosting technology LTD,42
M-net Telekommunikations GmbH,42
ZEN-ECN,42
Spartan Host Ltd,42
WINDSTREAM,42
Vodafone Italia S.p.A.,42
AIS Fibre,42
Serverius Holding B.V.,41
Beijing Guanghuan Xinwang Digital,41
Xtra Telecom S.A.,41
cyon GmbH,41
NetCologne Gesellschaft fur Telekommunikation mbH,41
xneelo,41
LIGHTEDGE-AS-02,41
MT-MPLS,41
Universitaet Stuttgart,40
Planeetta Internet Oy,40
SecurityNet.cz s.r.o.,40
Eurofiber Cloud Infra B.V.,40
Sun Network Hong Kong Limited - HongKong Backbone,40
Hydra Communications Ltd,40
AS-SPRIO,40
MIT-GATEWAYS,40
Amazon Data Services Ireland Ltd,39
"Beijing Volcano Engine Technology Co., Ltd.",39
Fuzhou,39
Entidad Publica Empresarial Red.es,39
SPACEX-STARLINK,39
wilhelm.tel GmbH,39
HKBN Enterprise Solutions HK Limited,39
Forthnet,39
Triple T Broadband Public Company Limited,39
Digital United Inc.,39
PACKETSURGE,38
Vodafone Portugal - Communicacoes Pessoais S.A.,38
MAROCCONNECT,38
Clouvider Limited,37
Hostpoint AG,37
IT Heinrich GmbH,37
Beget LLC,37
"Henan Mobile Communications Co.,Ltd",37
GCI Network Solutions Limited,37
Okay-Telecom Ltd.,37
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,37
Vodafone Limited,37
sinma GmbH,37
RMH-14,37
CHINANET Liaoning province Dalian MAN network,37
VMISS,37
Inclarity Communications Ltd,37
Wind Tre S.p.A.,37
Voxility LLP,36
SMILESERV,36
Proximus NV,36
rainbow network limited,36
National Sun Yat-sen University,36
A1 Bulgaria EAD,35
CHINANET Jiangx province IDC network,35
PUBLIC-DOMAIN-REGISTRY,35
HURRICANE,35
Ikoula Net SAS,35
"NTT PC Communications, Inc.",35
Chonnam National University,35
T-Mobile Austria GmbH,35
"TIME dotCom Berhad No. 14, Jalan Majistret U126 Hicom Glenmarie Industrial Park 40150 Shah Al",34
CtrlS,34
Claro NXT Telecomunicacoes Ltda,33
GlobalConnect A/S,33
COLUMBIA-GW,33
ASN for TIANJIN Provincial Net of CT,33
AS-SONICTELECOM,33
Leaseweb Asia Pacific pte. ltd.,33
OOO FREEnet Group,33
INHA UNIVERSITY,33
Iran Telecommunication Company PJS,33
NCREN,33
METANET AG,32
Artnet Sp. z o.o.,32
Anchnet Asia Limited,32
MK Netzdienste GmbH & Co. KG,32
Cloud technology Limited (Ltd.),32
Jsc ru-center,32
Sichuan Chuanxn IDC,31
Renater,31
ZONER a.s.,31
Domeneshop AS,31
BITel Gesellschaft fuer Telekommunikation mbH,31
ASMedi,31
NETACTUATE,31
Tele2 SWIPnet,31
UCSD,31
MTS PJSC,31
combahton GmbH,31
SINGLEHOP-LLC,31
Altibox AS,30
AS40676,30
FUSE-NET,30
Federal State Educational Institution of Higher Professional Education Novosibirsk State Univ,30
TENET-1,30
XNNET,30
DEDIPATH-LLC,30
US-TELEPACIFIC,30
ECO TRADE Sp. z o. o,29
UVIC-AS,29
Federal State Institution Federal Scientific Research Institute for System Analysis of the Ru,29
Vodafone Spain,29
IQ PL Sp. z o.o.,28
"JINHUA, ZHEJIANG Province, P.R.China.",28
H2B Assets B.V.,28
PJSC MegaFon,28
SonderCloud Limited,28
Superloop,28
Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,28
The Infrastructure Group B.V.,28
Plus Hosting Grupa d.o.o.,28
National Infrastructures for Research and Technology S.A.,28
Global-e ICT solutions B.V.,27
Gigakom Sistems OOO,27
Administracion Nacional de Telecomunicaciones,27
Fastweb,27
WEBNX,27
"Quantcom, a.s.",27
DNA Oyj,27
LLC Baxet,27
ITP-Solutions GmbH & Co. KG,27
"Nos Comunicacoes, S.A.",27
"Taiwan Mobile Co., Ltd.",27
TELEGLOBAL COMMUNICATION SERVICES LIMITED,27
National Tsing-Hua University,27
Servicos De Comunicacoes E Multimedia S.A.,27
Hengyang,27
SYNERGY WHOLESALE PTY LTD,27
SEEWEB s.r.l.,27
"Research Organization of Information and Systems, National Institute of Informatics",26
POCOS B.V.,26
Fiber Operator B.V.,26
TZULO,26
VNET a.s.,26
PURtel.com GmbH,26
TWC-12271-NYC,26
Hivelocity Inc,26
Vivacom Bulgaria EAD,26
IDCCLOUD,26
Turk Telekom,26
TurkNet Iletisim Hizmetleri A.S.,26
Greenhost BV,25
NetBase BV,25
CABLE-NET-1,25
Zen Internet Ltd,25
INDIANA-AS,25
True Internet Data Center Company Limited,25
Optitrust GmbH,25
Uppsala University,25
CJ2 Hosting B.V.,25
rh-tec Business GmbH,25
Seonet Multimedia s.r.o.,25
Aria Shatel Company Ltd,25
Telemach Hrvatska d.o.o.,25
SUDDENLINK-COMMUNICATIONS,24
Iway AG,24
UAB INIT,24
Linknet-Fastnet ASN,24
Vodafone-panafon Hellenic Telecommunications Company SA,24
Vetenskapsradet / SUNET,24
TEKSAVVY,24
Kenya Education Network,24
RIT-ASN,24
Hathway IP Over Cable Internet,23
DELTA Fiber Nederland B.V.,23
Serverd SAS,23
DIMENOC,23
VeloxServ Communications Ltd,23
DIGI Tavkozlesi es Szolgaltato Kft.,23
System Security And Integration Eood,23
WorldStream B.V.,23
Novotelecom Ltd,23
National Cheng Kung University,23
"SALZBURG AG fur Energie, Verkehr und Telekommunikation",23
Telia Finland Oyj,23
i3D.net B.V,23
ACE,23
TDS-AS,23
Zomro B.V.,23
GoeTel GmbH,22
DC STAR nv,22
Freedom Internet BV,22
"Fundacao para a Ciencia e a Tecnologia, I.P.",22
ALPEIN Software SWISS AG,22
Kungliga Tekniska Hogskolan,22
Sauron CZ s.r.o.,22
CYBERLYNK,22
TerraTransit AG,22
Brutele SC,22
DATACITY,22
Inclust System Ltd.,22
SkyNet Ltd.,22
ZIPLY-FIBER-LEGACY-ASN,22
Spark New Zealand Trading Ltd.,22
HostRoyale Technologies Pvt Ltd,21
T-Systems International GmbH,21
"Cloudflare, Inc.",21
True B.V.,21
BAESYSTEMS,21
Soltia Consulting SL,21
AS Number for CHINANET jiangsu province backbone,21
"Mouk, LLC",21
SURF B.V.,21
RICAWEBSERVICES,21
Sharif University Of Technology,21
Kyungpook National University,21
Sri Lanka Telecom Internet,21
VA-TECH-AS,21
MIDCO-NET,21
Emirates Telecommunications Group Company (etisalat Group) Pjsc,21
CABLEONE,21
Rede Nacional de Ensino e Pesquisa,21
COLOMBIA TELECOMUNICACIONES S.A. ESP,20
SS-ASH,20
World4You Internet Services GmbH,20
Leibniz-Rechenzentrum,20
Telecom Algeria,20
EGIHOSTING,20
LLC Telekompaniya Region,20
xTom GmbH,20
AS53863,20
3W Infra B.V.,20
Inetcom LLC,20
Yunify Technologies Inc.,20
Nej.cz s.r.o.,20
CLOUDDATA-NETWORKS-1,20
TOT Public Company Limited,20
Republican Unitary Telecommunication Enterprise Beltelecom,20
Xiamen,20
NOCIX,20
MYREPUBLIC LIMITED,20
INDOSAT Internet Network Provider,20
ROMARG SRL,19
"Shanghai Mobile Communications Co.,Ltd.",19
Hoasted B.V.,19
StarNet Telecom Sp. z o.o.,19
National Chung Cheng University,19
CHINA TELECOM,19
FIBIA P/S,19
mono solutions ApS,19
Telia Norge AS,19
Exetel Pty Ltd,19
Haicom Limited,19
Nerocloud Ltd,19
VPLSNET,19
SpaceNet AG,19
PT Biznet Gio Nusantara,19
Superonline Iletisim Hizmetleri A.S.,19
Datacamp Limited,18
Wix.com Ltd.,18
One New Zealand Group Limited,18
CANET-ASN-4,18
PRIVATESYSTEMS,18
GOOGLE-2,18
KDDI CORPORATION,18
Tieteen tietotekniikan keskus Oy,18
Hoshin Multimedia Center Inc.,18
Naukowa I Akademicka Siec Komputerowa - Panstwowy Instytut Badawczy,18
Net-Build GmbH,18
T-Mobile Czech Republic a.s.,18
NTT Communications Corporation,18
"CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China.",18
COOL-IDEAS,18
intercolo GmbH,18
Karlsruhe Institute of Technology,18
Level 27 BVBA,17
CENTRANET-FIBER,17
CDCK,17
Bredband2 AB,17
Fundaments B.V.,17
MVPS LTD,17
WOW-INTERNET,17
"Heilongjiang Province, P.R.China.",17
Telia Eesti AS,17
China Unicom Guangzhou network,17
Serbia BroadBand-Srpske Kablovske mreze d.o.o.,17
Noyan Abr Arvan Co. ( Private Joint Stock),17
RCN-AS,17
Krystal Hosting Ltd,17
Partner Communications Ltd.,17
KOOKMIN UNIVERSITY,17
PurePeak Ltd.,17
LLC masterhost,17
ecotel communication ag,17
BHARTI Airtel Ltd.,17
ShenZhen Topway Video Communication Co. Ltd,17
ASN-GIGENET,17
Xenius BVBA,17
Computer Systems Consulting s.r.o.,17
Hiper A/S,17
SUCURI-SEC,16
Avalon d.o.o.,16
CTELCO,16
Tiscali SpA,16
Kirino LLC,16
Hebei Mobile Communication Company Limited,16
SNET-FCC,16
AS-WAVE-1,16
Coolhousing s.r.o.,16
Novacorp Networks Limited,16
USINTERNET,16
HOSTING-SOLUTIONS,16
LOCOTORPI,16
ALGAR TELECOM SA,16
PS Internet Company LLP,16
V tal,16
Hosting.de GmbH,16
Techtel LMDS Comunicaciones Interactivas S.A.,16
GROUP-IID-01,16
Internet Initiative Japan Inc.,16
Optimus IT d.o.o.,16
COL-LPC,16
Host-Africa-AS,16
Hostek AB,15
MEDIACOM-ENTERPRISE-BUSINESS,15
UAB Bite Lietuva,15
CDSC-AS1,15
Dreamscape Networks Limited,15
RACKSPACE,15
PROGRESO.PL Sp. z o.o,15
Hyperoptic Ltd,15
Iomart Cloud Services Limited,15
First Server Limited,15
JSC Ufanet,15
Chungnam National University,15
Tata Teleservices ISP AS,15
408 Fl4 CATTOWER,15
CLOUD GUARD LIMITED,15
Leaseweb Deutschland GmbH,15
Pars Online PJS,15
CMC Telecom Infrastructure Company,15
Pixel X e.K.,15
A1 Hrvatska d.o.o.,15
OOO Trivon Networks,15
ispOne business GmbH,15
Telia Stofa A/S,15
AS-30083-GO-DADDY-COM-LLC,15
2 connect a.s.,15
BRESNAN-33588,15
China Unicom,15
Vocus Retail,15
GleSYS AB,15
YOTTA NETWORK SERVICES PRIVATE LIMITED,15
Keyweb AG,15
TEFINCOM S.A.,15
COGECOWAVE,15
Globalconnect As,15
dhosting.pl Sp. z o.o.,15
Pakistan Telecommunication Company Limited,14
CHT Compamy Ltd,14
Link11 GmbH,14
Netia SA,14
Viewqwest Pte Ltd,14
PODA a.s.,14
Croatian Academic and Research Network,14
LEMON TELECOMMUNICATIONS LIMITED,14
GANDI SAS,14
DUKE-INTERCHANGE,14
"Beijing Shijihulian Yuntong Network Technology Co., Ltd.",14
ScaleUp Technologies GmbH & Co. KG,14
BTN-ASN,14
Mammoth Media Pty Ltd,14
COLT Technology Services Group Limited,14
ATLANTICBB-JOHNSTOWN,14
"Nanjing, Jiangsu Province, P.R.China.",14
Civo LTD,14
CHINANET Fujian province Fuzhou IDC network,14
UNICOM JiangSu WuXi IDC network,14
AS-TING-BACKBONE,14
"WENZHOU, ZHEJIANG Province, P.R.China.",14
NBI Systems Ltd.,14
Locaweb Servicos de Internet SA,14
CloudCoCo Connect Limited,14
EBOX,14
Chalmers University of Technology,14
Hankuk University of Foreign Studies Computer Center,13
GTCOMM,13
Sprintel s.r.o.,13
Abaco Informatica S.r.l.,13
TIGERTECH,13
TELEKOM.pl Sp. z o.o.,13
Internode Pty Ltd,13
TE-AS,13
Metaregistrar B.V.,13
"Oriental Cable Network Co., Ltd.",13
SEACOM-AS,13
"Axarnet Comunicaciones, S.l.",13
Tilaa B.V.,13
AS2579,13
FIU,13
Kakao Corp,13
Colombia,13
JSC Mediasoft ekspert,13
Launtel,13
"XINGCHEN DATA HK CO., LIMITED",13
hostNET Medien GmbH,13
Kunnskapssektorens Tjenesteleverandor,13
First Root UG (haftungsbeschraenkt),13
"Zhengzhou Fastidc Technology Co.,Ltd.",13
Talha Bogaz,13
Scalaxy B.V.,13
webhoster.de AG,13
Lanet Network Ltd,13
Brno University of Technology,13
kbro CO. Ltd.,13
Enix Ltd,13
Gigabit Hosting Sdn Bhd,13
"O2 Czech Republic, a.s.",13
Primlight AB,13
"Beijing Kingsoft Cloud Internet Technology Co., Ltd",13
MAGAZINE LUIZA SA,13
Kamatera Inc,13
PT. Beon Intermedia,13
CHINA UNICOM Industrial Internet Backbone,13
Chernyshov Aleksandr Aleksandrovich,13
"INDO Internet, PT",13
IP ServerOne Solutions Sdn Bhd,13
PROTOCOL,13
"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhouJiangsu Province, P.R.China.",12
SERVERROOM,12
Proen Corp Public Company Limited.,12
LEASEWEB-USA-WDC,12
Viettel Corporation,12
Nebius Israel Ltd,12
Asia Pacific On-line Service Inc.,12
X INTEGRATION PTY LTD,12
WEHOSTWEBSITES-COM,12
Yelles AB,12
Technische Universitaet Muenchen,12
Massivegrid Ltd,12
Afranet,12
BitCommand LLC,12
Simoresta UAB,12
KDDI Web Communications Inc.,12
InterNetX GmbH,12
GITHUB,12
Denit B.V.,12
NWI,12
meerfarbig GmbH & Co. KG,12
JSC Kazakhtelecom,12
Savvii B.V.,12
SASKTEL,12
PURDUE,12
Whiz Communications Pte Ltd,12
UCSB-NET-AS,12
green.ch AG,12
TSRI-AS,12
CHINANET Guangdong province Shenzhen MAN network,12
Chongqing Telecom,12
KUES DATA GmbH,12
ARNES,12
"Zaozhuang,Shandong Province, P.R.China.",12
Akenes SA,12
Vectra S.A.,12
PLANETHOSTER-8,12
"Taiwan Fixed Network, Telco and Network Service Provider.",12
PHMGMT-AS1,12
WPI,12
Ddos-guard Ltd,12
CORENET,12
Layerstack Limited,12
Scloud Pte Ltd,12
Compania Dominicana de Telefonos S. A.,12
West263 International Limited,12
DIAMATRIX,12
SETCOR d.o.o.,12
HK Broadband Network Ltd.,12
Man-da.de GmbH,12
Orange Romania Communication S.A,12
LeapSwitch Networks Pvt Ltd,11
Mahanagar Telephone Nigam Limited,11
University of Warsaw,11
Miss Hosting AB,11
LG HelloVision Corp.,11
Krivets Sergey Sergeevich,11
295CA-TOR-ASN,11
PT Cloud Hosting Indonesia,11
Hutchison Drei Austria GmbH,11
RADIOKOMUNIKACE a.s.,11
UCB,11
Reliance Jio Infocomm Limited,11
Hostland LTD,11
JSC Avantel,11
Hong Kong University of Science and Technology,11
KISTI,11
Universidad Nacional Autonoma de Mexico,11
NorthC Deutschland GmbH,11
Epcan GmbH,11
Planetary Networks GmbH,11
GORILLASERVERS,11
Tube-Hosting,11
DAOU TECHNOLOGY,11
Toya sp.z.o.o,11
National Taiwan Normal University,11
China Unicom Guangdong IP network,11
Pars Shabakeh Azarakhsh LLC,11
"T-2, d.o.o.",11
Nearoute Limited,11
NEXEON,11
"JINX CO., LIMITED",11
Two Degrees Networks Limited,11
kabelplus GmbH,11
Northern Data AG,11
DLIVE,11
Hrvatski Telekom d.d.,11
Sub 6 Limited,11
REDOUBT-NET,11
HYUNDAI COMMUNICATIONS NETWORK,11
Invest Mobile LLC,11
LH.pl Sp. z o.o.,11
Destiny N.V,11
Telemach d.o.o.,11
Guangdong,11
CHINANET Guangdong province Guangzhou MAN network,11
Master IT Ltd.,11
EuroByte LLC,11
Telenor A/S,10
Huashu media&Network Limited,10
"Vodafone Ono, S.A.",10
NODISTO,10
SRI-INTERNATIONAL-PRINCETON,10
Free Pro SAS,10
G-Core Labs S.A.,10
Globalhost d.o.o.,10
UNION BROADBAND NETWORK,10
Outscale SASU,10
National Infomation Society Agency,10
Vodafone Hungary Ltd.,10
CCI-TEXAS,10
M1 NET LTD,10
Microplex PTY LTD,10
China Unicom IP network,10
Asahi Net,10
Style-Com LLC,10
"Shijiazhuang IDC network, CHINANET Hebei province",10
Internet-Pro LLC,10
Netmagic Datacenter Mumbai,10
UNIVERSIDADE DE SAO PAULO,10
Artfiles New Media GmbH,10
LLC KomTehCentr,10
Edgenap Ltd,10
Delta Telesystems Ltd.,10
PRINCETON-AS,10
Hohl IT e.U.,10
BeeVPN ApS,10
IQHost Ltd,10
OOO MediaSeti,10
Schuberg Philis B.V.,10
SkyLink Data Center BV,10
"Telia Lietuva, AB",10
ZC38-AS1,10
Superior B.V.,10
"STARNET, s.r.o.",10
FASTER CZ spol. s r.o.,10
Netsec Limited,10
"Jinan,250000",10
TVCOM Ltd.,10
Orange Belgium SA,10
DACOM-PUBNETPLUS,10
INTAC Services GmbH,10
National Technical University of Athens,10
Vodafone Ireland Limited,10
Tele Columbus AG,10
DARTMOUTH-AS,10
New information technologies Ltd,10
"Far EastTone Telecommunication Co., Ltd.",10
BROWNRICE-INTERNET-1,10
DFDB-NET,10
VSE NET GmbH,10
Asiatech Data Transmission company,10
KIFU (Governmental Info Tech Development Agency),10
dataforest GmbH,10
"JCOM Co., Ltd.",10
PLDI,10
Exa Bytes Network Sdn.Bhd.,10
NHN,10
PT Dian Nuswantoro Teknologi,10
"Slovak Telekom, a.s.",9
DATA-STREAM,9
"GMO-Z com NetDesign Holdings Co., Ltd.",9
CHINATELECOM SiChuan province Chengdu 5G network,9
BRISANET SERVICOS DE TELECOMUNICACOES LTDA,9
F5 Networks SARL,9
RECONN LLC,9
"Fiord Networks, UAB",9
UK Dedicated Servers Limited,9
Fundacion Tecnalia Research and Innovation,9
RICE-AS,9
"Fortion Networks, s.r.o.",9
"NetDataComm, s.r.o.",9
Ans Academy Limited,9
SOPRADO GmbH,9
TBC,9
JSC RTComm.RU,9
Uniserver Internet B.V.,9
Intersvyaz-2 JSC,9
CHINANET Yunnan province IDC1 network,9
PILOT,9
HDTIDC LIMITED,9
JSC RetnNet,9
Six Degrees Technology Group Limited,9
Rackspace Ltd.,9
H4Y-TECHNOLOGIES,9
SSASN2,9
"Zhejiang Taobao Network Co.,Ltd",9
Cronon GmbH,9
ELTENET ELTENET,9
KAMP Netzwerkdienste GmbH,9
TelemaxX Telekommunikation GmbH,9
comtrance service GmbH,9
Philippine Long Distance Telephone Company,9
BIZNET NETWORKS,9
"Iguana Comunicacions, S.L.",9
"Shanghai Anchang Network Security Technology Co.,Ltd.",9
ELITEWORK-01,9
Wildcard UK Limited,9
TELEKOM SRBIJA a.d.,9
PAIR-NETWORKS,9
