server,count
"Linux,WEBACCESS/1.0,DIR-850LVer1.15",45
Jetty(i-jetty6.0-1650699557),45
WindRiver-WebServer/4.5,45
David-WebBox/12.00a (1291) WIN32,45
mcdhttpd/1.2,45
Ruijie Servrer,45
MiniServ/1.990,45
xxxx,45
Net-OS 5.xx UPnP/1.0,45
IBM_HTTP_Server,45
CherryPy/4.0.0,45
MS-MFC-HttpSvr/1.0,45
AkamaiGHost,45
VB,45
Prometheus,45
lighttpd/1.4.45,45
BitNinja Captcha Server,45
Polycom SoundPoint IP Telephone HTTPd,45
GoAhead-Webs,44
fwebserver,44
PAM360,44
GeoWebServer 5.0.0.0,44
adong,44
Jetty/3.1.8 (Windows 2000 5.0 x86),44
Saia PCD3.M5340/1.16.69,44
TOPSEC,44
lighttpd/1.4.35,44
Qualvision -HTTPServer,44
eCos Embedded Web Server,44
lighttpd/1.4.39,44
WebServer/1.0 UPnP/1.0,44
Web Server/1.0,44
Jetty(9.4.44.v20210927),44
Cimer,44
BlueIris-HTTP/1.1,44
Apache/2.0.43 (Win32) mod_jk/1.2.2-beta-1,44
QWS,44
NetdataEmbeddedHTTPServerv1.32.1-37-nightly,44
KWS-1043N-Svr,44
RG/Device 10.x,44
Apache/2.4.56 (Debian),44
nPerf/2.2.0 2019-04-02,44
Jetty(9.3.z-SNAPSHOT),44
HASP LM/16.00,44
darkstat/3.0.718,44
JFinal 4.9.17,44
rcell,44
Medusa/1.12,44
httpd,44
gws,44
Docker/19.03.9 (linux),44
CPE FILE Server,44
"Web Hosting by Dot Enterprise Co.,Ltd (http://www.de.co.th/)",44
BaseHTTP/0.6Python/3.8.5,44
DNVRS-Webs,44
SP-XML,44
nws/1.0,44
Start HTTP-Server/1.1,44
SY8033,44
airCube,44
LINUX/2.4 UPnP/1.0 BRCM400/1.0,44
fibjs,44
GW,44
Jetty(6.1.26),44
IdeaWebServer/6.2.1,44
tsbox,44
"Linux/5.10.60-qnap,UPnP/1.0,PortableSDKforUPnPdevices/1.6.22",44
-,44
Virata-EmWeb/R6_2_1,44
squid,44
"Linux,WEBACCESS/1.0,DIR-850LVer1.13",44
Microsoft-HTTPAPI/2.0,44
GoAhead-Webs/2.5.0,44
"Linux/2.6.21, UPnP/1.0, Portable SDK for UPnP devices/1.3.1",43
http server 1.0,43
Werkzeug/0.14.1 Python/3.7.3,43
P-660HW-T1 v3,43
DOSarrest,43
WebSphere Application Server/7.0,43
Niagara Web Server/1.1,43
Unknown,43
Java Composer Server 2.1,43
CouchDB/2.1.0 (Erlang OTP/17),43
Check Point SVN foundation,43
Linux UPnP/1.0 Huawei-ATP-IGD,43
MochiWeb/1.0 (Any of you quaids got a smint?),43
Web Server,43
HTTPServer,43
TwistedWeb/17.9.0,43
AdServer,43
Virtual Web 0.9,43
H264DVR 1.0,43
MoxaHttp/2.3,43
WindRiver-WebServer/4.7,43
Lexmark_Web_Server,43
MiniServ/2.000,43
CSI Web Server 1.05,43
Tieline,43
Apache/2.4.9 (Win32) OpenSSL/1.0.1g PHP/5.5.11,43
CenteHTTPd/1.1,43
Resin/3.0.19,43
vws 1.7.12,43
CherryPy/10.2.2,43
Apache/2.2.0 (Unix) mod_ssl/2.2.0 OpenSSL/0.9.7g PHP/5.1.1,43
FunshionService1.0.5.8Beta,43
Oracle XML DB/Oracle Database,43
Servrer,43
Switch,43
TP-LINKHTTPD/1.0,43
WebsServer,43
SOYAL Technology WebServer 2.0,43
synopc,43
lighttpd/1.4.25-devel-v2.2.24-45-gc66fb0e4,43
Trend Chip UPnP/1.0 DMS,43
debut/1.30,43
Python/3.10 aiohttp/3.9.5,43
thttpd/2.25b-lxc 29dec2003,43
httpd/2.0,43
Web-Server,43
HTTP Server 1.0,43
WingFTPServer(tonyweb),43
BackupSystem,43
PRTG,43
CherryPy/3.1.2 WSGI Server,43
TwistedWeb/14.0.0,43
Oracle XML DB/Oracle9i Enterprise Edition Release 9.2.0.1.0 - Production,43
SRS/4.0.177(Leo),43
openresty/1.21.4.1,43
"ZLMediaKit(git hash:b4207240,branch:master,build time:Nov  2 2021 11:36:02)",43
FSM-Webs,43
TestApp-1.0.0,43
Icecast 2.4.4,42
uc-httpd/1.0.0,42
Coruscant,42
Kerio Connect 9.2.8 patch 1,42
SRS/5.0.98(Bee),42
swoole-http-server,42
H3C-CVM,42
d7b452-d70-1255-4515-9b56f13a6dab,42
Jetty/5.1.10 (Windows Server 2008/6.1 amd64 java/1.6.0_07,42
nginx/1.21.3,42
TOSHIBA TEC CORPORATION,42
Mbedthis-Appweb/0.0.0,42
Stoneoim,42
Xovis PC Series,42
"Linux,STUNNEL/1.0,DIR-850LVer1.13",42
router webs,42
Cowboy,42
webswing.org,42
Webio Embedded server v1.0,42
LTE Router,42
4D/18.3.0,42
Miniwebserver1.0ZXICcorp2005.,42
ATS/7.0.0,42
aeserver,42
Jexus/5.8.2.21 Linux,42
RomPager/4.37,42
MinIO Console,42
infosec/1.0.0,42
lighttpd/1.4.19,42
JAWS/1.0 Aug 26 2015,42
mORMot (Windows) Microsoft-HTTPAPI/2.0,42
Httpd/1.0,42
CherryPy/3.2.2,42
lighttpd/1.4.28-devel-9217,42
udpxy 1.0-23.10 (prod) standard [Linux 3.18.67 x86_64],42
Microsoft-Azure-Application-Gateway/v2,42
HFS 2.1 beta17,42
squid/3.3.8,42
eCos,42
WCY_WEBServer/2.0,42
BarracudaHTTP 4.0,42
mongo/2.0,42
Miniwebserver1.0Skyworthcorp2017.,42
Titan,41
Boa/0.94.14rc19,41
Henry/1.1,41
app07,41
AR,41
HTTPD_ac1.0,41
iPlanet-Web-Proxy-Server/3.6-SP5,41
Cassini/5.0.4.0,41
SuperNode Server/2.3.47,41
VDNServer/2017,41
o2switch-PowerBoost-v3,41
CradlepointHTTPService/1.0.0,41
E2EE WebSocket Server/0.7.0,41
Satrack,41
Evernote/1.0,41
ThunderDcdn,41
Easy-html,41
Linux/3.10.0_s40 UPnP/1.0 Portable SDK for UPnP devices/1.6.12,41
httpd_four-faith,41
mini_httpd/1.21 18oct2014,41
lighttpd/1.4.32,41
Embedthis-Appweb/3.4.2,41
Boa/0.94.14,41
JAWS/1.0 Apr  8 2014,41
Grandstream/1.10,41
Boa/0.94.14rc21,41
cisco-IOS,41
Embedthis-http/4.0.0,41
Jetty(7.6.13.v20130916),41
LIVE555 Streaming Media v2020.04.24,41
Microsoft-IIS/8.0,41
hidden,41
openresty/1.9.15.1,41
"Linux/2.x.x, UPnP/1.0, pvConnect UPnP SDK/1.0, Twonky UPnP SDK/1.1",41
Nexus/3.9.0-01 (OSS),41
Mini web server 1.0 ZTE corp 2005.,41
none,41
mini_httpd/1.27 07Mar2017,41
TP-LINK Router,41
TwistedWeb/8.2.0,41
beegoServer:1.11.1,41
WSGIServer/0.2CPython/3.7.0,41
mginx,41
e7fd6736-5b0f-4af1-54a0-c95a00f208b,41
Werkzeug/0.12.2 Python/3.6.2,41
squid/3.1.23,41
Resin/4.0.40,41
MiniServ/1.610,41
Resin/3.1.8,41
WebServer(ipcamera),41
WintenDo,41
sslvpn 1.0,41
Clayster.Library.Internet/1.1,41
"Linux/2.6.36, UPnP/1.0, Portable SDK for UPnP devices/1.3.1",41
JAWS/1.0 Sep 18 2018,41
gunicorn/19.9.0,41
Python/3.7 websockets/10.1,41
hmhttpd/1.24-20160808,41
alphapd,41
HttpServer,41
MIIPS-2,41
Python/3.10 aiohttp/3.10.10,41
Gerenciado por StoreHosting.com.br,41
Web Server 1.1,41
728/09824HTTPServerversion2.0-TELDATS.A.,41
CVM,41
BaseHTTP/0.3 Python/2.7.17,41
Demo-Webs,40
SRS/5.0.12(Leo),40
Sanoil Bayi Portal,40
MiniServ/1.970,40
Docker/17.03.0-ce (linux),40
WSGIServer/0.2 CPython/3.7.7,40
Cisco-CUCM11.5,40
Xfinity Broadband Router Server,40
squid/3.5.20,40
SRS/4.0.161(Leo),40
DEFAULTIPPLATFORM,40
webserver/0.0.0,40
Indy/9.0.50,40
mHttp 0.1.6296.32466,40
Werkzeug/0.8.3 Python/2.6.3,40
Asterisk/13.13.1,40
Ag [47],40
Apache/2.4.46 (Unix) OpenSSL/1.1.1j,40
iPlanet-Web-Proxy-Server/3.6,40
Mini web server 1.0 Skyworth corp 2017.,40
Reposify,40
Jetty(winstone-2.9),40
Hanlong Unicron v1.0,40
shield,40
lighttpd (SliTaz GNU/Linux),40
ScreenConnect/21.14.5924.8013-1372366428 Microsoft-HTTPAPI/2.0,40
REST-Webs,40
JAWS/1.0 Sep 30 2016,40
Apache (Red Hat Linux),40
kangle/3.5.19,40
"ZLMediaKit(git hash:1292ec6,branch:master,build time:Sep 29 2021 18:28:24)",40
HFS 2.2e,40
kangle/3.5.8.2,40
GlassFish Server Open Source Edition  4.1.2,40
thttpd,40
gen5th/1.33.00,40
Werkzeug/0.16.1 Python/3.8.10,40
EZproxy,40
Mathopd/1.5p6,40
WebServer,40
AxelWebServer-1.0,40
Python/3.10 aiohttp/3.10.5,40
FC03-HTTPS,40
Intel(R) Active Management Technology 9.1.30,40
localhost,40
GoAhead-Webs/2.5.0PeerSec-MatrixSSL/3.1.3-OPEN,40
anytermd,40
ngnix,40
TwistedWeb/13.2.0,40
TwistedWeb/20.3.0,40
Mongoose/6.6,40
"Linux,WEBACCESS/1.0,DIR-850LVer1.06",40
lighttpd/1.4.37,40
Netwave IP Camera,40
Cloud,40
IPCamera-Webs/2.5.0 PeerSec-MatrixSSL/3.1.3-OPEN,40
wts/1.2,40
gunicorn/19.4.5,40
K1,40
StreamSystem,40
PLKWebServer,40
WEB SERVER,39
FlowWeb/1.4.28,39
Jetty(9.4.9.v20180320),39
"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",39
WebSockify Python/2.7.12,39
"Sierra Wireless Inc, Embedded Server",39
web,39
Resin/3.1.6,39
openresty/1.11.2.1,39
TitanSDK/1.6.11,39
WhoAmI,39
Nexus/3.0.0-03 (OSS),39
Oracle-Application-Server-11g,39
StreamSystem 4.0,39
IPOffice/,39
"Linux/3.18.20, UPnP/1.0, Portable SDK for UPnP devices/1.6.21",39
Neobox Web Server,39
openresty/1.17.8.2,39
instafogging/1.21.4.1,39
ReeCamIPCamera,39
Alpha_webserv,39
FuckYou,39
mini_httpd,39
TwistedWeb/19.7.0,39
APN HTTPD V1.4,39
Abyss/2.7.0.0-X1-Win32 AbyssLib/2.7.0.0,39
WebServer/2.0,39
Nginx,39
httpd 1.1,39
squid/3.5.27,39
APPWebs/,38
TR069 client TCP connection request Server,38
PRTG/13.1.2.1462,38
Saia PCD2M5540/1.10.16,38
Server,38
ioLogik Web Server/1.0,38
web server,38
GoAheadWebs,38
calibre 7.14.0,38
Intoto Http Server v1.0,38
DVRDVS-Webs,38
ZQWL-WebServer-v1.0,38
CrushFTP HTTP Server,38
CE_E,38
MoxaHttp/1.0,38
AutobahnPython/21.3.1,38
Powered by Electronic Arts,38
CJServer/1.1,38
"Linux,WEBACCESS/1.0,DIR-860LVer1.07",38
kx-ns1000,38
Apache/1.3.28 (Unix) mod_ssl/2.8.15 OpenSSL/0.9.8d,38
gunicorn/18.0,38
Aterm(HT)/1.0.0,38
"Linux/2.6.30.9-cig-4, UPnP/1.0, Portable SDK for UPnP devices/1.6.18",38
OPNsense,38
Roku/10.0.0 UPnP/1.0 Roku/10.0.0,38
avtech/1.0,38
openresty/1.11.2.5,38
openresty/1.15.8.3,38
wanduck,38
LOS HTTP Server 1.0,38
JAWS/1.0May132013,38
Mongoose/6.11,38
WSGIServer/0.2 CPython/3.9.6,38
SEPM,38
Boa/0.93.15,38
FN-Httpd 1.0 [HTTP/1.1],38
Dr.COM Server,38
yealink embed httpd,38
cdyc_web_svr1.0,38
FunshionService1.0.1.104Beta,38
GoAhead-Webs/2.5.0 PeerSec-MatrixSSL/3.1.3-OPEN,38
WebSockifyPython/2.7.5,38
Rapid Logic/1.1,38
squid/4.11,38
LANCOM,38
pve-api-daemon/3.0,38
ttyd/1.6.3 (libwebsockets/4.3.2-419f7c7),38
Apache/1.3.31 (Unix),38
Xavante 2.2.0 embeded,38
Docker/20.10.6 (linux),38
LTE Router Operation And Management,38
webserver/1.0,38
Keil-EWEB/2.0,38
streamserver,38
TopWebServer,38
HTTPD_gw 1.0,38
ReeCam IP Camera,38
Caddy v0.11.1,38
"Linux/2.6.37, UPnP/1.0, Portable SDK for UPnP devices/1.4.7",38
"CuteBi Network Tunnel, (%>w<%)",38
Splunkd,38
RTKWeb0.9,38
ZTE web server 1.0 ZTE corp 2015.,38
SiteScope/9.0 04:38:55 2007-08-19 build 911,38
Web server,37
Oracle-iPlanet-Web-Server/7.0,37
JAWS/1.0 Aug 21 2013,37
server,37
CUPS/1.7 IPP/2.1,37
E2EE Server 2.0,37
flowproxy,37
MobileSMARTS/5.2.46.14758 Microsoft-HTTPAPI/2.0,37
Icecast 2.4.2,37
beegoServer:2.0.0,37
Sunny WebBox,37
NetDataEmbeddedHTTPServer20200416-1574-g011c015a6,37
FunshionService1.0.1.63Beta,37
w3httpd/1.0,37
Cisco-CcspCwmpTcpCR/1.0,37
ComfileHMI Runtime,37
WMI Http Server,37
ttyd/1.6.3(libwebsockets/3.1.0),37
iis8.0,37
Webserver,37
Astra,37
Nexus/3.13.0-01 (OSS),37
gf-app,37
Docker/1.11.1 (linux),37
Keil-EWEB/2.1,37
oatpp/1.2.5,37
Apache/2.2.9 (Win32) DAV/2 mod_ssl/2.2.9 OpenSSL/0.9.8i mod_autoindex_color PHP/5.2.6,37
Tengine/2.3.2,37
Linux/2.x UPnP/1.0 Avtech/1.0,37
Jetty(8.y.z-SNAPSHOT),37
Werkzeug/2.0.1 Python/3.6.9,37
WildFly/10,37
ttyd/1.6.3(libwebsockets/4.3.2-419f7c7),37
gunicorn/20.0.4,37
WEB-ROUTER,37
webs,37
Apache/2.4.27 (Unix) OpenSSL/1.0.2k,37
HTTPD  1.0,37
Python/3.8 aiohttp/4.0.0a1,37
HID-Web,37
TP-LINK HTTPD/1.0,37
BigIP,37
Indy/9.00.10,37
cPanel,37
GlassFish Server Open Source Edition  4.0,37
LSWebServer/1.0.0,37
squid/4.10,37
openresty/1.11.2.2,37
58f5b853-36b6-597e-16c6-4610e7fd83a4,37
Miniwebserver1.0ZTEcorp2005.,37
bks400,37
Jetty/5.1.x(Linux/2.6.26-2-686i386java/1.6.0_22,37
Swift1.0,37
SRS/4.0.201(Leo),37
HFS 2.3c,37
Python/3.10 aiohttp/3.8.4,37
Wintendo1.3.3.7,36
DS67x0,36
Router,36
Jetty(9.2.14.v20151106),36
HTTPD,36
nginx/1.21.6,36
IPC@CHIP,36
TeleEye/1.1,36
VirtualWeb0.9,36
CPE-SERVER/1.0 Supports only GET,36
BRCM HTTP Server,36
Restlet-Framework/3.0m1,36
B&R Web Server  Ver. {2-250416-25},36
WSO2 Carbon Server,36
OrientDB Server v.2.2.22 (build fb2b7d321ea8a5a5b18a82237049804aace9e3de),36
sw-cp-server,36
CherryPy/3.2.5,36
Citrix Web PN Server,36
HFS 2.4.0 RC6,36
openresty/1.9.3.1,36
GS-Webs,36
thttpd/2.25b PHP/20030920,36
H3C-Miniware-Webs,36
GEM ver1,36
Cambium HTTP Server,36
MS-MFC-321-1/1.1,36
tcgo-server/0.25.3,36
t1-httpd/1.4.43,36
lighttpd,36
AvigilonGateway/1.0 Microsoft-HTTPAPI/2.0,36
gaaa,36
Cam-Webs,36
HFS 2.4.0 RC7,36
XCDN,36
"HP HTTP Server; HP HP OfficeJet Pro 8720 - D9L19A; Serial Number: CN81HC6060; Built:Wed Jan 27, 2021 02:31:26PM {WMP1CN2105AR}",36
webs/,36
StartHTTP-Server/1.1,36
GoAhead-Webs/2.5.0 PeerSec-MatrixSSL/3.4.2-OPEN,36
Indy/9.0.11,36
Microsoft-WinCE/6.00,36
WSGIServer/0.2 CPython/3.8.5,36
VA Web Server,36
Jetty(9.4.z-SNAPSHOT),36
SimpleHTTP/0.6 Python/2.7.16,36
mini_httpd/1.30 26Oct2018,36
Python/3.11 aiohttp/3.11.13,36
WWW Server/1.1,36
ZK Web Server,36
VIAWEB system/1.0.0 (http://www.viawebsystem.com.br),36
SuperSign,36
Virata-EmWeb/R6_0_1,36
WebBox-20,36
Octopus Deploy/ Microsoft-HTTPAPI/2.0,36
Werkzeug/2.2.3 Python/3.10.11,36
Electrex HTTPserver,36
RomPager/4.07 UPnP/1.0,35
MQCache/2.1.0,35
IPCamera-Webs/2.5.0,35
Yamaha-RT,35
lighttpd/1.4.55,35
OpenCms/11.0.2,35
LTE Router Webs,35
BaseHTTP/0.3 Python/2.7.10,35
Infra911,35
DWS,35
MiniServ/0.01,35
WSGIServer/0.1 Python/2.7.12,35
Dptechserver,35
ver2.4rev0,35
demce.tk,35
thttpd/2.25b29dec2003,35
HTTPD1.0,35
"Linux, HTTP/1.1, DIR-850L Ver 1.13",35
"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",35
lighttpd/1.4.32-devel-20015M,35
lighttpd/1.4.20,35
3S_WebServer,35
Kerio Connect 8.3.1,35
squid/3.5.12,35
PRAVIS/1.0,35
miniupnpd/1.0 UPnP/1.0,35
gunicorn/19.7.0,35
Nexus/3.7.1-02 (OSS),35
Linux/2.6.28 SI Cloud Camera,35
Crestron Webserver,35
MiniServ/1.941,35
NVR EXT SERVER,35
Niagara Web Server/3.8.111,35
HFS 2.4rc2,35
Payara Micro #badassfish,35
orbis,35
HCMSActiveX Viewer,35
K3,35
MAGI 1.0,34
TRMB/1.2,34
H3C-CVM    5049,34
fasthttp,34
httpd_gargoyle/1.0 14mar2008,34
Jetty(8.2.0.v20160908),34
Mini-RomPager/4.34,34
Werkzeug/1.0.1 Python/3.8.2,34
HTTPD 1.0,34
K2,34
Jetty(9.4.33.v20201020),34
yuntuc,34
Cherokee/0.99.9 (UNIX),34
cc-web/1.6.3,34
darkhttpd/1.12,34
WildFly/8,34
WebServer/1.0,34
LOVE,34
GlassFish Server Open Source Edition  4.1.1,34
Jetty(6.1.26.hwx),34
Goahead/2.5.0 PeerSec-MatrixSSL/3.2.1-OPEN,34
TeamSpeak Server 3.13.2,34
Server Version 11.0,34
mini_httpd/1.3026Oct2018,34
ross Web Server,34
Web Server/2.1.0 PeerSec-MatrixSSL/3.1.3-OPEN,34
Jetty(6.1.14),34
yawcam/0.6.0,34
squid/3.5.25,34
lighttpd/1.4.28-devel-10177,34
FastCGI,34
mpd web server,34
