region,count
Moravskoslezsky kraj,100
Ar Riyad,99
Occitanie,97
Auvergne-Rhone-Alpes,97
Hainan,96
Selangor,96
Slaskie,95
Toscana,94
Alberta,90
Wisconsin,89
"Valenciana, Comunidad",89
Delhi,89
Wien,86
Utrecht,86
Viken,86
Chon Buri,84
Auckland,84
Pomorskie,84
Catalunya,82
Brandenburg,82
Lisboa,82
Bucuresti,81
Novosibirskaya oblast',80
Mecklenburg-Vorpommern,79
Zeeland,78
Ciudad de Mexico,74
Antwerpen,73
Heilongjiang,71
Stredocesky kraj,69
Gavleborgs lan,65
Delaware,64
Sachsen-Anhalt,63
Lazio,63
Hyogo,62
Tamil Nadu,61
Gyeongsangbuk-do,61
Bremen,60
Bretagne,60
Niederosterreich,60
Nouvelle-Aquitaine,59
Oberosterreich,58
Pays-de-la-Loire,57
Dhaka,56
Sverdlovskaya oblast',55
Tennessee,55
Avtonomna Respublika Krym,54
Rio de Janeiro,54
Oklahoma,54
Ciudad Autonoma de Buenos Aires,53
Connecticut,52
Limburg,52
Irkutskaya oblast',52
Buenos Aires,52
Western Australia,52
National Capital Region,51
Lubelskie,50
Veneto,50
Masqat,49
Guizhou,49
Jilin,49
Piemonte,48
Samarskaya oblast',47
Basel-Stadt,47
Beograd,47
Krasnodarskiy kray,47
Odeska oblast,46
Louisiana,45
Vlaams-Brabant,43
Rabat-Sale-Kenitra,43
Casablanca-Settat,43
Nebraska,42
Emilia-Romagna,42
Harjumaa,42
Kansas,42
Xinjiang Uygur,41
Pest,41
New Mexico,40
Alabama,40
New Hampshire,39
Minas Gerais,39
Arkansas,39
Ljubljana,38
Istarska zupanija,38
Incheon-gwangyeoksi,38
Salta,37
Marche,37
Phnom Penh,37
HaMerkaz,37
Yogyakarta,37
Luxembourg,37
Baghdad,37
Gwangju-gwangyeoksi,36
Normandie,36
Rajasthan,36
Ilfov,35
Jawa Timur,34
South Australia,34
Daegu-gwangyeoksi,34
Syddanmark,33
Ash Sharqiyah,33
Riga,32
Johor,31
Vaud,31
Yaroslavskaya oblast',31
Kentriki Makedonia,31
Galicia,31
Poltavska oblast,31
Minskaya voblasts',30
Idaho,30
Skane lan,30
Plzensky kraj,30
Yucatan,29
Uppsala lan,29
Vastra Gotalands lan,29
Trondelag,28
Distrito Capital de Bogota,28
Rogaland,28
Sjaelland,28
Bursa,28
Nairobi City,28
Montana,28
West-Vlaanderen,28
Mexico,28
Pais Vasco,28
Dolnoslaskie,27
Madhya Pradesh,27
Grad Zagreb,27
Gujarat,26
Pirkanmaa,26
Al 'Asimah,26
Karlovarsky kraj,26
Punjab,26
Almaty,26
Tomskaya oblast',26
Canarias,26
Surat Thani,25
Kujawsko-pomorskie,25
Castilla y Leon,25
Federacija Bosne i Hercegovine,25
Dytiki Makedonia,25
Toshkent,25
Chungcheongbuk-do,24
Kanagawa,24
Da Nang,24
South Dakota,24
Hofudborgarsvaedi,23
Obwalden,23
Pardubicky kraj,23
Coquimbo,23
Chelyabinskaya oblast',23
Brasov,23
Primorskiy kray,23
Kauno apskritis,23
Australian Capital Territory,22
Makkah al Mukarramah,22
Salzburg,22
Pulau Pinang,22
Bourgogne-Franche-Comte,22
Aargau,22
Santa Catarina,22
Khabarovskiy kray,21
"Tatarstan, Respublika",21
Parana,21
Kharkivska oblast,21
Queretaro,21
Troms og Finnmark,21
Saitama,21
Pernambuco,21
Ustecky kraj,21
Olomoucky kraj,21
Vologodskaya oblast',20
Sabah,20
Jawa Tengah,20
Ulytau oblysy,20
Haryana,20
Sicilia,20
Vastmanlands lan,20
Manitoba,19
Warminsko-mazurskie,19
Al Qahirah,19
Ceara,19
Northern Ireland,19
Chisinau,19
Chiba,19
Permskiy kray,19
Aragon,19
Banten,19
Centre-Val de Loire,19
Innlandet,19
Nizhegorodskaya oblast',18
HaTsafon,18
Calabria,18
Udmurtskaya Respublika,18
Vestland,18
Campania,18
Qinghai,18
Ankara,17
Khuzestan,17
Zaporizka oblast,17
Koprivnicko-krizevacka zupanija,17
Western Province,17
North Dakota,17
Izmir,17
Steiermark,17
Leningradskaya oblast',17
Kerala,16
Goias,16
Krasnoyarskiy kray,16
Nova Scotia,16
Alger,16
Etela-Karjala,15
Lvivska oblast,15
Prey Veaeng,15
Jeju-teukbyeoljachido,15
Lima,15
Jeollabuk-do,15
Nusa Tenggara Barat,15
Montevideo,15
Sankt Gallen,15
Fars,15
Hallands lan,14
Castilla-La Mancha,14
Rio Grande do Sul,14
Zagrebacka zupanija,14
Hawaii,14
Cherkaska oblast,14
Mykolaivska oblast,14
Yerushalayim,14
Hainaut,14
Plovdiv,14
Lubuskie,14
Rostovskaya oblast',14
Busan-gwangyeoksi,14
Kriti,14
Omskaya oblast',14
Kirovskaya oblast',14
Ul'yanovskaya oblast',14
Orebro lan,14
Saint George,14
Nordjylland,13
Liberecky kraj,13
Tanger-Tetouan-Al Hoceima,13
Binh Duong,13
Hefa,13
Tasmania,13
Saskatchewan,13
Andhra Pradesh,13
Free State,12
Zlinsky kraj,12
Ruse,12
Kaliningradskaya oblast',12
Primorsko-goranska zupanija,12
Timis,12
Dnipropetrovska oblast,12
Murmanskaya oblast',12
Pathum Thani,12
Bagmati,12
Voronezhskaya oblast',11
Sencur,11
Bahia,11
Rio Grande do Norte,11
Sardegna,11
Varsinais-Suomi,11
Astana,11
Bihor,11
Tirol,11
Kyoto,11
Paraiba,11
Abu Zaby,11
Iasi,11
Maribor,11
Valais,11
Chandigarh,11
Trentino-Alto Adige,11
Canelones,11
Mato Grosso,10
Bac Ninh,10
Extremadura,10
"Murcia, Region de",10
HaDarom,10
Mississippi,10
Maine,10
Illes Balears,10
Horad Minsk,10
Ryazanskaya oblast',10
Basel-Landschaft,10
Guerrero,10
"Bashkortostan, Respublika",10
Nuevo Leon,10
Liege,10
Zakarpatska oblast,10
Kwazulu-Natal,10
Morelos,10
Dalarnas lan,10
Assam,10
Chungcheongnam-do,10
Cordoba,9
Vestfold og Telemark,9
West Virginia,9
Friuli-Venezia Giulia,9
Dong Nai,9
Ticino,9
Puebla,9
Puglia,9
Podkarpackie,9
Kanta-Hame,9
Gyor-Moson-Sopron,9
Distrito Federal,8
Kralovehradecky kraj,8
Maule,8
New Brunswick,8
Karaman,8
Santa Fe,8
Mazandaran,8
Liguria,8
Central,8
Kemerovskaya oblast',8
Stavropol'skiy kray,8
Sarawak,8
Khersonska oblast,8
Gifu,8
Astrakhanskaya oblast',8
Tul'skaya oblast',8
Suceava,8
English River,8
Bay of Plenty,8
Islamabad,8
Rhode Island,8
Ad Dawhah,7
"Mariy El, Respublika",7
Kocaeli,7
Mures,7
Port Louis,7
Vinnytska oblast,7
Abruzzo,7
Namur,7
Blekinge lan,7
Novgorodskaya oblast',7
Telsiu apskritis,7
Kyivska oblast,7
Porto,7
Lefkosia,7
Burgenland,7
Ivanovskaya oblast',7
Cluj,7
Tverskaya oblast',7
Tyumenskaya oblast',7
Reunion,7
Antioquia,7
Lop Buri,7
Zug,7
Caras-Severin,7
Aklan,7
Varmlands lan,7
Liepaja,7
Chiang Mai,7
Volgogradskaya oblast',6
Phuket,6
Nordland,6
Brabant wallon,6
Centar,6
Altayskiy kray,6
Erevan,6
Ulaanbaatar,6
Veracruz de Ignacio de la Llave,6
Wakayama,6
Fes- Meknes,6
Braga,6
Para,6
Kampala,6
Long An,6
Khanh Hoa,6
Canterbury,6
Santiago,6
Samut Sakhon,6
Agder,6
Dytiki Ellada,6
Sumska oblast,6
Nara,6
Luzern,6
Tbilisi,6
Trzic,6
Chihuahua,6
Maramures,6
Kirovohradska oblast,6
Jammu and Kashmir,6
Alagoas,6
Alborz,6
Szabolcs-Szatmar-Bereg,6
Graubunden,6
Ida-Virumaa,6
Arges,6
Csongrad-Csanad,6
Pichincha,5
Khorasan-e Razavi,5
Sofia,5
Biobio,5
Zulia,5
Alaska,5
Aichi,5
Mendoza,5
Panama,5
Kalimantan Barat,5
Orenburgskaya oblast',5
Chattogram,5
Shizuoka,5
Ang Thong,5
Peloponnisos,5
Giurgiu,5
Newfoundland and Labrador,5
Buri Ram,5
Espirito Santo,5
San Juan,5
Splitsko-dalmatinska zupanija,5
Guria,5
Sonora,5
Almaty oblysy,5
Hai Phong,5
Borsod-Abauj-Zemplen,5
Lemesos,5
Belgorodskaya oblast',5
Wellington,5
Thurgau,5
Miyagi,5
Distrito Nacional (Santo Domingo),5
Vladimirskaya oblast',5
Abuja Federal Capital Territory,5
Tunis,5
Cantabria,5
Xizang,5
Hai Duong,5
Hormozgan,5
Varna,5
Samut Prakan,5
Celje,5
Mombasa,5
Fribourg,5
Guadeloupe,5
Waterford,5
Baja California,5
Kronobergs lan,5
Volynska oblast,5
Swietokrzyskie,5
Viana do Castelo,5
Baranya,5
Kalmar lan,5
Burgas,5
Gyeongsangnam-do,4
Sumatera Selatan,4
Yala,4
Bac Giang,4
Central Province,4
Keski-Pohjanmaa,4
Entre Rios,4
Marrakech-Safi,4
Amazonas,4
Baja California Sur,4
Kanchanaburi,4
Kedah,4
Medimurska zupanija,4
Penzenskaya oblast',4
Siauliu apskritis,4
Sterea Ellada,4
Bacs-Kiskun,4
Pazardzhik,4
North Western Province,4
Jeollanam-do,4
Quang Nam,4
Khomas,4
Umbria,4
Pohjois-Pohjanmaa,4
Ostergotlands lan,4
Nonthaburi,4
Osun,4
Faro,4
Hajdu-Bihar,4
Esch-sur-Alzette,4
Gilan,4
Trnavsky kraj,4
Northern Cape,4
Preah Sihanouk,4
Anatoliki Makedonia kai Thraki,4
Nakhon Ratchasima,4
Waikato,4
Arad,4
Azarbayjan-e Sharqi,4
Wilayah Persekutuan Putrajaya,4
Phitsanulok,4
Semnan,4
Kermanshah,4
Tucuman,4
Kaluzhskaya oblast',4
Guanajuato,4
Valparaiso,4
Odisha,4
Satu Mare,4
Etela-Pohjanmaa,4
Formosa,4
Chuvashskaya Respublika,4
Luhanska oblast,4
Komarom-Esztergom,4
Antalya,4
Souss-Massa,4
Pskovskaya oblast',4
Rizal,4
Sudurnes,4
Thessalia,4
La Rioja,4
Michoacan de Ocampo,4
North West,4
Kwara,4
Donetska oblast,4
Kosovsko-Mitrovacki okrug,3
Arkhangel'skaya oblast',3
Eskisehir,3
'Ajman,3
Paijat-Hame,3
Qom,3
Surin,3
Pohjois-Savo,3
Neuchatel,3
Nitriansky kraj,3
Keski-Suomi,3
Kagawa,3
Podlaskie,3
Kraj Vysocina,3
Dadra and Nagar Haveli and Daman and Diu,3
Nagano,3
Zilinsky kraj,3
Pomoravski okrug,3
Al Farwaniyah,3
Jalisco,3
Guatemala,3
Lagos,3
Lam Dong,3
Leiria,3
Khyber Pakhtunkhwa,3
Guayas,3
Batman,3
Gibraltar,3
South East,3
Yalova,3
Baki,3
Stara Zagora,3
Saratovskaya oblast',3
Osjecko-baranjska zupanija,3
Notio Aigaio,3
Chhattisgarh,3
Gaziantep,3
Luanda,3
West Bengal,3
Dolj,3
Hiroshima,3
Bihar,3
Quindio,3
Al Janubiyah,3
Setubal,3
Al Jizah,3
Regiao Autonoma da Madeira,3
Coahuila de Zaragoza,3
Kumamoto,3
Sant Julia de Loria,3
La Araucania,3
An Giang,3
Vermont,3
Zadarska zupanija,3
Santarem,3
Constanta,3
Tocantins,3
Rayong,3
Corse,3
Ibaraki,3
Mie,3
Rajshahi,3
Vasterbottens lan,3
Mpumalanga,3
Durango,3
Eastern Cape,3
Jonkopings lan,3
Qaraghandy oblysy,3
"Komi, Respublika",3
"Navarra, Comunidad Foral de",3
Galati,3
Viangchan,3
Cauca,3
Andorra la Vella,3
Siguldas novads,3
Sistan va Baluchestan,3
Cundinamarca,3
Kelantan,3
More og Romsdal,3
Beni-Mellal-Khenifra,3
Canovanas,2
Zala,2
Jura,2
Cork,2
Melaka,2
Thimphu,2
Chaguanas,2
Libertador General Bernardo O'Higgins,2
Azuay,2
Bishkek Shaary,2
Sibiu,2
Vinica,2
Huancavelica,2
Olt,2
Vukovarsko-srijemska zupanija,2
Sinaloa,2
"Mordoviya, Respublika",2
Abidjan,2
Golestan,2
Jasz-Nagykun-Szolnok,2
Phrae,2
Sodermanlands lan,2
Braila,2
Kostromskaya oblast',2
L'Oriental,2
Machakos,2
Konya,2
Esfahan,2
Banskobystricky kraj,2
Alto Parana,2
Sulawesi Selatan,2
Mato Grosso do Sul,2
Lipetskaya oblast',2
Nong Bua Lam Phu,2
Chubut,2
Saga,2
Itapua,2
Thua Thien-Hue,2
Khulna,2
Ternopilska oblast,2
Atlantico,2
Khmelnytska oblast,2
Etela-Savo,2
"Asturias, Principado de",2
Bali,2
Meta,2
South Miladhunmadulu,2
Monaghan,2
Bryanskaya oblast',2
Mezica,2
Qormi,2
Aceh,2
Coimbra,2
Vidin,2
Kekavas novads,2
Dong Thap,2
Okinawa,2
Longford,2
Vinh Long,2
Can Tho,2
Kainuu,2
Perak,2
Tak,2
Van,2
Piaui,2
Sakhalinskaya oblast',2
Zanjan,2
Monaco-Ville,2
Tabasco,2
Addis Ababa,2
Balkan,2
Rize,2
Littoral,2
Sibensko-kninska zupanija,2
Isparta,2
"Dagestan, Respublika",2
Uttarakhand,2
Manisa,2
Borski okrug,2
Al Qalyubiyah,2
Bekes,2
Amasya,2
Kepulauan Riau,2
Nayarit,2
Vas,2
Kurganskaya oblast',2
Solothurn,2
Kymenlaakso,2
Beyrouth,2
Trenciansky kraj,2
Narino,2
Ardabil,2
Pleven,2
Mont-Liban,2
Opolskie,2
Chernihivska oblast,2
Pohjanmaa,2
"Khakasiya, Respublika",2
Goa,2
Misamis Oriental,2
Toyama,2
Yangon,2
Fejer,2
Tambovskaya oblast',2
Kayseri,2
Riau,2
Tamaulipas,2
Vorarlberg,2
Ishikawa,2
Aqtobe oblysy,2
Fukushima,2
Santa Cruz,2
Bizerte,2
Hawke's Bay,2
Buzau,2
Dobrich,1
Rivnenska oblast,1
Ptuj,1
Binh Thuan,1
Jazan,1
Sousse,1
Vila Real,1
Yamalo-Nenetskiy avtonomnyy okrug,1
Lambayeque,1
La Pampa,1
Jharkhand,1
Jersey,1
Papua Barat,1
Uri,1
Yozgat,1
Az Zahirah,1
Manawatu-Wanganui,1
Nabeul,1
Heredia,1
Karlovacka zupanija,1
Tra Vinh,1
Markazi,1
Tuyen Quang,1
Vlore,1
Hato Mayor,1
Berane,1
Amanat al 'Asimah,1
Davao del Norte,1
Quang Ninh,1
Hadramawt,1
Orlovskaya oblast',1
Nakhon Sawan,1
Misiones,1
Mugla,1
Kordestan,1
Leyte,1
Veszprem,1
Chaco,1
Baoruco,1
Khorasan-e Shomali,1
Pafos,1
Balti,1
Ha Tinh,1
Guernsey,1
La Habana,1
Bushehr,1
Prahova,1
Veliko Tarnovo,1
La Altagracia,1
Salaj,1
Evora,1
Son La,1
Ca Mau,1
Dak Nong,1
Southland,1
Lusaka,1
Dimashq,1
"Kalmykiya, Respublika",1
Republika Srpska,1
Saraburi,1
Songkhla,1
Plaines Wilhems,1
Saint Catherine,1
Ionia Nisia,1
Satakunta,1
Tlemcen,1
Arbil,1
Kotayk',1
Mayaguez,1
Kosicky kraj,1
Blida,1
Botosani,1
Farg'ona,1
Trujillo,1
Gia Lai,1
Agusan del Sur,1
Ararat,1
Zhytomyrska oblast,1
Wicklow,1
Kildare,1
Shimane,1
Duzce,1
Miranda,1
Blagoevgrad,1
Savanne,1
Paramaribo,1
Denizli,1
Zabaykal'skiy kray,1
La Paz,1
Cao Bang,1
Al Buhayrah,1
Asuncion,1
Binh Dinh,1
Mersin,1
Mosta,1
Sa Kaeo,1
Akita,1
Ehime,1
Ulsan-gwangyeoksi,1
Thanh Hoa,1
Kabardino-Balkarskaya Respublika,1
Tipaza,1
Phu Yen,1
Jelgavas novads,1
Chernivetska oblast,1
Constantine,1
Nghe An,1
Amurskaya oblast',1
Ad Daqahliyah,1
Al Muharraq,1
Mariehamn,1
Tombouctou,1
Sfax,1
Harare,1
Ha Nam,1
Agusan del Norte,1
Koper,1
Yamaguchi,1
Fukui,1
Amapa,1
Narathiwat,1
Olaines novads,1
Kerman,1
Brunei-Muara,1
Hamadan,1
Al Qasim,1
San Jose,1
Curacao,1
Taranaki,1
Jambi,1
Aomori,1
La Vega,1
"Tyva, Respublika",1
Teleorman,1
Ash Shamaliyah,1
Podunavski okrug,1
Sukhothai,1
Kamchatskiy kray,1
Phu Tho,1
Canillo,1
Bacau,1
Otago,1
Quezon,1
Dambovita,1
Magdalena,1
Banjul,1
Chuy,1
Kranj,1
Dien Bien,1
North-West,1
Basilicata,1
Tolima,1
Sliven,1
Tarapaca,1
Gorj,1
Ceuta,1
Larnaka,1
Central Equatoria,1
Oran,1
Hung Yen,1
Rondonia,1
Bender,1
Nyeri,1
Ipeiros,1
Maputo,1
Schaffhausen,1
Abkhazia,1
Ben Tre,1
Sanliurfa,1
Store,1
Ogres novads,1
Vasternorrlands lan,1
El Oro,1
Tripura,1
Ha Giang,1
Khon Kaen,1
Viseu,1
Brodsko-posavska zupanija,1
Corrientes,1
Saint Paul Charlestown,1
Zlatiborski okrug,1
Valle del Cauca,1
Escaldes-Engordany,1
Chimborazo,1
Tottori,1
Heves,1
Lamphun,1
Dak Lak,1
Limpopo,1
Regiao Autonoma dos Acores,1
Lang Son,1
"Kareliya, Respublika",1
Southern Province,1
Vaduz,1
Nagasaki,1
Dubrovacko-neretvanska zupanija,1
Bistrita-Nasaud,1
Calarasi,1
Hokkaido,1
Podgorica,1
Klaipedos apskritis,1
Ribnica,1
Wakiso,1
Guelmim-Oued Noun (EH-partial),1
Qazvin,1
Bjelovarsko-bilogorska zupanija,1
Atacama,1
Hunedoara,1
Black River,1
Bejaia,1
Shumen,1
Paysandu,1
Norrbottens lan,1
Branicevski okrug,1
Aveiro,1
Yambol,1
Sumatera Utara,1
Cochabamba,1
Tirane,1
"Saha, Respublika",1
Dar es Salaam,1
Valle d'Aosta,1
Appenzell Innerrhoden,1
Radovis,1
Juznobacki okrug,1
Sumadijski okrug,1
Gafsa,1
Quang Ngai,1
Pernik,1
Sucre,1
Ropazu novads,1
Triesen,1
Al Wakrah,1
Valverde,1
Iwate,1
Al Madinah al Munawwarah,1
Al Hudud ash Shamaliyah,1
Benguet,1
Yukon,1
Shamal al Batinah,1
Gandaki,1
Adana,1
Kurskaya oblast',1
Kabul,1
Chiapas,1
Kyustendil,1
Atlantida,1
L'Ariana,1
