os,server,count
ubuntu,"windows_7-x86-6.1, upnp/1.0, pms/1.25.1",1
ubuntu,"windows_7-x86-6.1, upnp/1.0, pms/1.40.0",1
unix,apache/1.3.28 (unix),1
unix,apache/2.4.51 (unix) openssl/1.1.1n svn/1.14.1 phusion_passenger/6.0.12 mod_perl/2.0.11 perl/v5.28.1,1
ubuntu,agranat-emweb,1
ubuntu,american sitebuilder,1
windows,apache/2.4.57 (win64) openssl/3.1.2,1
debian,apache/2.4.54 (debian) openssl/1.1.1n,1
windows,apache/2.4.12 (win32) openssl/1.0.2k php/7.2.5,1
debian,apache/2.4.53 (debian),1
windows,apache/2.4.23 (win32) openssl/1.0.2j php/5.4.45,1
windows,apache/2.4.38 (win64) openssl/1.0.2r,1
windows,apache/2.4.43 (win64) openssl/1.1.1g php/7.4.4,1
debian,apache/2.4.48 (debian),1
debian,apache/2.4.25 (debian) openssl/1.0.2u,1
windows,apache/2.4.62 (win64),1
windows,apache/2.2.4 (win32) php/5.2.2,1
cpanel,apache/2.4.43 (cpanel),1
centos,apache/2.4.7 (centos),1
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/7.2.34 mod_perl/2.0.11 perl/v5.16.3,1
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/7.2.34,1
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips php/5.6.37,1
centos,apache/2.4.6 (centos) openssl/1.0.2k-fips mod_wsgi/3.4 python/2.7.5 php/8.2.20,1
centos,apache/2.4.6 (centos) openssl/1.0.1e-fips php/5.6.33,1
centos,apache/2.4.58 (centos),1
debian,apache/2.4.63 (debian),1
windows,apache/2.2.19 (win32) php/5.2.17,1
unix,apache/2.4.54 (unix) openssl/1.0.2k-fips,1
unix,apache/2.4.59 (unix),1
ubuntu,allegro-software-rompager,1
unix,apache/2.4.55 (unix),1
ubuntu,alibaba,1
ubuntu,agranat-emweb/r5_1_2,1
ubuntu,sonicwall sslvpn web server,1
ubuntu,"5.2.3790 2/service pack 1, upnp/1.0, tversity media server",1
unix,apache/2.4.58 (unix) openssl/1.1.1p php/8.1.24,1
suse,apache/2.4.10 (linux/suse),1
unix,apache/2.4.59 (unix) openssl/3.0.11,1
freebsd,apache/2.4.48 (freebsd) openssl/1.0.2u mod_fcgid/2.3.9,1
redhat,apache/2.2.3 (red hat),1
red hat enterprise linux,apache/2.4.62 (red hat enterprise linux) openssl/3.2.2 mod_wsgi/4.7.1 python/3.9,1
red hat enterprise linux,apache/2.4.62 (red hat enterprise linux),1
red hat enterprise linux,apache/2.4.37 (red hat enterprise linux) openssl/1.1.1k mod_fcgid/2.3.9,1
unix,apache/2.4.62 (unix) openssl/3.3.2,1
raspbian,apache/2.4.38 (raspbian),1
unix,apache/2.4.63 (unix) openssl/3.4.0 php/8.2.27,1
freebsd,apache/2.4.54 (freebsd) openssl/1.0.2u mod_fcgid/2.3.9,1
ubuntu,squid,1
ubuntu,simplehttp/0.6 python/2.7.6,1
ubuntu,smoothwall express/3.0 upnp/1.0 miniupnpd/1.0,1
ubuntu,simplehttp/0.6 python/3.4.0,1
ubuntu,jetty/4.2.x (vxworks/wind version 2.9 ppc java/1.1-rr-std-b12),1
ubuntu,jrun/3.1,1
ubuntu,linux upnp/1.0 sonos/31.3-22220 (anvil),1
ubuntu,linux upnp/1.0 sonos/47.2-59120 (zps3),1
ubuntu,embedthis-http,1
ubuntu,"linux/2.4.18_mvl30-ixdp425, upnp/1.0, intel sdk for upnp devices/1.3.1",1
ubuntu,linux/2.4.21 upnp/1.0 miniupnpd/1.0,1
ubuntu,"linux/2.6.28, upnp/1.0, portable sdk for upnp devices/1.6.10",1
centos,apache/2.2.3 (centos),1
ubuntu,"linux/2.6.32-24-generic, upnp/1.0, portable sdk for upnp devices/1.6.6",1
ubuntu,"linux/2.6.32-279.14.1.el6.x86_64, upnp/1.0, portable sdk for upnp devices/1.6.14",1
ubuntu,linux/cross_compiled upnp/1.0 miniupnpd/1.0,1
ubuntu,litespeed/5.2.8 enterprise,1
ubuntu,embedded http server,1
ubuntu,draytek/vigor2130 upnp/1.0 miniupnpd/1.0,1
ubuntu,microsoft wince fidelix v11.50.29,1
ubuntu,microsoft-iis,1
ubuntu,microsoft-iis/5.0,1
ubuntu,delegate/7.7.0,1
ubuntu,microsoft-iis/6.0,1
ubuntu,microsoft-iis/7.5,1
ubuntu,jetty(6.1.12.rc2),1
ubuntu,jans server,1
ubuntu,ews-nic3/6.31,1
ubuntu,folkweb,1
ubuntu,goahead-webs/2.5.0,1
ubuntu,goahead-webs/2.5.0 peersec-matrixssl/3.4.2-open,1
ubuntu,goserve,1
ubuntu,gsoap/2.7,1
ubuntu,gunicorn/19.7.1,1
ubuntu,homedoor,1
ubuntu,hp web jetadmin 10.3.85669,1
ubuntu,hp-chaiserver/2.2,1
ubuntu,ibm_http_server,1
ubuntu,ibm_http_server/1.3.19.2  apache/1.3.20 (win32),1
ubuntu,ipswitch-imail/7.07,1
ubuntu,ibm_http_server/2.0.42.2-pk25355 apache/2.0.47 (unix) dav/2,1
ubuntu,ibm_http_server/6.0 apache/2.0.47 (unix) dav/2,1
ubuntu,ibm_http_server/7.0.0.9 (unix),1
ubuntu,intel(r) active management technology,1
ubuntu,intel(r) standard manageability 9.0.3,1
ubuntu,fedora/10 upnp/1.0 miniupnpd/1.4,1
ubuntu,ipos/7.0 upnp/1.0 tl-wr741n/1.0/2.0,1
ubuntu,ipos/7.0 upnp/1.0 tl-wr941n/2.0,1
ubuntu,ipswitch-imail/5.08,1
ubuntu,mini dome ip camera,1
ubuntu,mini_httpd/1 23jun2000,1
ubuntu,miniserv/0.01,1
ubuntu,reecam ip camera,1
ubuntu,oracle http server powered by apache/1.3.19 (win32) mod_ssl/2.8.1 openssl/0.9.5a mod_fastcgi/2.2.10 mod_oprocmgr/1.0 mod_perl/1.25,1
ubuntu,php/4.4.2-1build1,1
ubuntu,php/5.1.2,1
ubuntu,bkhttp/0.3,1
ubuntu,pi3web/2.0,1
ubuntu,bigip,1
ubuntu,powerweb,1
ubuntu,qtss/5.0 (build/452; platform/macosx; release/panther; ),1
ubuntu,rapid logic/1,1
ubuntu,resin/1,1
ubuntu,openwrt/kamikaze upnp/1.0 miniupnpd/1.5,1
ubuntu,resin/3.0.23,1
ubuntu,rushhour,1
ubuntu,sentinelkeysserver/1,1
ubuntu,sentinelkeysserver/1.0,1
ubuntu,sentinelprotectionserver/7,1
ubuntu,sentinelprotectionserver/7.0,1
ubuntu,sentinelprotectionserver/7.3,1
ubuntu,servlet/3.0; jbossas-6,1
ubuntu,goahead-webs,1
ubuntu,oracle application server containers for j2ee 10g (9.0.4.0.0),1
ubuntu,openvpn-as,1
ubuntu,mod_security/1.71,1
ubuntu,nginx + phusion passenger,1
ubuntu,mongrel 1.1.5,1
ubuntu,debian/wheezy/sid upnp/1.1 miniupnpd/1.8,1
ubuntu,mycio,1
ubuntu,mylo/0.2.0,1
ubuntu,net-dk/1.0,1
ubuntu,netcache appliance (netapp/5.6.1d22),1
ubuntu,netcache appliance (netapp/6.0.4),1
ubuntu,netgear/1.0 upnp/1.0 miniupnpd/1.0,1
ubuntu,cross web server,1
ubuntu,nginx/0.8.53 + phusion passenger 3.0.0 (mod_rails/mod_rack),1
ubuntu,opentv/5.40,1
ubuntu,nginx/1.10.1,1
ubuntu,compaqhttpserver/9.9 hp system management homepage,1
ubuntu,cloudfront,1
ubuntu,cloudflare,1
ubuntu,cleo harmony/5.7.0.8 (linux),1
ubuntu,cisco-ios/12.1 http-server/1.0(1),1
ubuntu,cherokee/0.2.7,1
ubuntu,chainpoint-node,1
ubuntu,boa/0.92p os-9 version,1
ubuntu,"linux/2.6.28.1-xxxx-std-ipv4-32, upnp/1.0, portable sdk for upnp devices/1.4.3",1
