os,server,count
windows,microsoft-iis/7.5,101
nan,nginx/1.10.3,100
nan,httpserver1.0,97
nan,cargo,93
nan,tornadoserver/4.5.1,93
nan,x-web,92
nan,tornadoserver/6.3.1,91
debian,apache/2.4.38 (debian),90
nan,gse,90
debian,apache/2.4.10 (debian),89
nan,envoy,88
nan,http server 1.0,86
nan,openresty/1.19.3.1,85
nan,httpserver,84
nan,tornadoserver/4.5.2,83
nan,nginx/1.23.3,83
nan,openresty/1.25.3.1,82
nan,http server,82
nan,gunicorn,78
nan,nginx/1.12.1,77
nan,server,75
debian,apache/2.4.59 (debian) svn/1.10.4 mod_fcgid/2.3.9 openssl/1.1.1n,75
nan,cdn,74
nan,webserver/1.0,72
nan,python/3.12 aiohttp/3.11.11,72
nan,nginx/1.13.7,71
ubuntu,apache/2.4.18 (ubuntu),69
nan,nginx/1.12.2,69
nan,webs,68
nan,openresty/1.19.9.1,68
windows,microsoft-iis/6.0,65
ubuntu,nginx/1.22.0 (ubuntu),64
nan,cm4all webserver,64
nan,lighttpd,64
nan,nginx/1.26.0,64
nan,nginx/1.25.2,62
nan,tengine/3.1.0,62
nan,nginx/1.17.9,61
nan,nginx/1.22.0,61
nan,kestrel,60
nan,openresty/1.15.8.2,59
nan,pdr-m800/1.0,59
nan,nginx/1.20.2,59
nan,jaws/1.0oct232015,59
nan,apache/2.4.62,59
nan,tornadoserver/6.3,58
nan,openresty/1.13.6.2,58
raspbian,apache/2.4.10 (raspbian),57
nan,goahead/2.5.0peersec-matrixssl/3.2.1-open,57
nan,success web server/1.0.0,56
nan,python/3.10 aiohttp/3.11.11,56
nan,sun glassfish enterprise server v2.1,56
nan,nginx/1.14.0,55
nan,miniwebserver2.0cdatacorp2017.,54
nan,asustek upnp/1.0 miniupnpd/1.4,54
nan,sap netweaver application server 7.45 / as java 7.40,54
debian,apache/2.4.59 (debian),54
nan,blueserver/5.5.4.1,53
nan,"orientdb server v.2.2.37 (build a7541e7ceeabf592dd9a7b2928b6c023cbc73193, branch 2.2.x)",53
nan,fpbx-14.0.17(13.38.3),53
nan,jetty(winstone-2.8),53
nan,cwmp-agent,53
nan,d45964bf-d48c-477c-8655-56bb369797b6,53
nan,awselb/2.0,52
nan,lotus-domino,52
nan,docker/19.03.8 (linux),52
nan,wyf,52
nan,netbox version 2.8 build 4128,52
nan,app-webs/,52
nan,httpd_ac 1.0,52
nan,huawei auth-http server 1.0,52
nan,boa/0.94.13,52
nan,rompager/4.07,52
nan,sonicwall,52
nan,network_module/1.0 (rx-v581),51
nan,ch,51
nan,tornadoserver/4.4.3,51
ubuntu,apache/2.2.22 (ubuntu),51
nan,twistedweb/12.1.0,51
nan,oracle-http-server-11g,51
nan,"linux/2.6.21.5, upnp/1.0, portable sdk for upnp devices/1.6.6",51
nan,jboneos-http,51
nan,wsgiserver/0.2 cpython/3.6.8,51
nan,allegro-software-rompager/4.30,51
nan,mini web server 1.0 zxic corp 2005.,51
nan,jjhttpd v0.1.0,51
nan,jetty(i-jetty 6.0-1570509416),51
nan,ucm6102 configuration | login,51
nan,box,51
nan,nginx/1.19.1,51
nan,hp-ilo-server/1.30,51
nan,rgos http-server/1.1,50
nan,srs/4.0.198(leo),50
nan,rss-webs/1.4b78p13,50
nan,appnode/ccenter,50
nan,serv-u/15.3.2.155,50
nan,nbb-414,50
nan,sposhttpd/4.8,50
nan,ttyd/1.6.3-3b174da (libwebsockets/4.1.6-),50
nan,sockettools/11.0,50
nan,mini_httpd/1.1919dec2003,50
nan,werkzeug/0.9.4 python/2.7.6,50
nan,"linux,stunnel/1.0,dir-850lver1.06",50
nan,lighttpd/1.4.26-devel-v14.07.2,50
nan,ovhcloud,50
nan,ksc/1223,50
nan,hypercorn-h11,49
nan,jetty(9.4.43.v20210629),49
nan,mhttpd v1.1,49
nan,kngx/1.10.2,49
nan,dguard center 7.1.6.9,49
nan,squid/4.13,49
nan,openresty/1.15.8.1,49
nan,ver2.4 rev0,49
nan,boa/0.94.14rc20,49
nan,(null),49
nan,innbox_webserv,49
nan,zte-webs/2.5.0 peersec-matrixssl/3.1.3-open,49
nan,openresty/1.27.1.1,49
nan,pastewsgiserver/0.5 python/2.7.6,49
nan,boa/0.94.11,49
nan,python/3.12 aiohttp/3.11.13,49
nan,tengine/1.5.2,49
nan,waitress,49
nan,"hp http server; hp envy 7640 series - e4w43a; serial number: th73p4s0q0063t; built:tue may 26, 2020 07:08:30am {nsm2cn2022ar}",48
nan,sundray,48
nan,intelektron web server,48
nan,lhs,48
nan,tinyproxy/1.11.1,48
nan,checkpointsvnfoundation,48
nan,mikrotik httpproxy,48
nan,os 1.0 upnp/1.0 realtek/v1.3,48
nan,embedded http server.,48
nan,gunicorn/20.0.4    831,48
nan,sinforhttpd/1.0,48
nan,twistedweb/12.0.0,48
nan,cloudfront,48
nan,phpiis.com,48
nan,tengine/2.3.3,48
nan,websockify python/3.6.9,48
nan,thttpd/2.2426oct2003,48
nan,micro_httpd,48
nan,webserver-webs/2.5.0,48
nan,convesio/2.1,48
nan,unknown-webserver/1.0,48
nan,mhz server,47
nan,adb broadband http server,47
nan,ruijie server,47
nan,sthttpd/2.27.0 03oct2014,47
nan,sonicwall ssl-vpn web server,47
nan,gooryx/1.0.5,47
nan,hikvision-webs,47
nan,brovotech/2.0.0,47
nan,15dbd20f-7fc0-910a-349c-94a3d569e732,47
nan,ms-sdk-httpserver/1.0,47
nan,"linux/4.9.84, upnp/1.0, portable sdk for upnp devices/1.14.0",47
nan,miniserv,47
nan,axhttpd/1.4.0,47
nan,asterisk/1.8.9,47
nan,poweredbyelectronicarts,47
nan,websocket++/0.7.0,47
nan,kerio connect 7.0.1,47
nan,dasannetwork solution,47
nan,k2p,47
nan,nexus/3.19.1-01 (oss),47
nan,alphapd/2.1.8,47
nan,728/09824  http server version 2.0 - teldat s.a.,47
nan,webfs/1.21,47
nan,output-streamer/0.2,46
nan,cross web server,46
nan,"linux,stunnel/1.0,dir-860lver1.07",46
nan,embedthis-appweb/3.3.1,46
nan,twistedweb/16.2.0,46
nan,boss/1.0 (boss),46
nan,abyss/2.8.0.5-x2/b2-win32 abysslib/2.8.0.1,46
nan,nxahttp/2.1.7415.0,46
nan,jetty(6.1.x),46
nan,workerman,46
nan,jetty(7.6.0.v20120127),46
nan,lwip/1.4.0 (http://savannah.nongnu.org/projects/lwip),46
nan,tableau,46
nan,web/0.02.07,46
nan,xovispcseries,46
nan,bfe/1.0.8.18,46
nan,cougar/9.01.01.3841,46
nan,safedog/4.0.0,46
nan,miniwebserver1.0cmiotcorp2018.,46
nan,winstone servlet engine v1.0.5,46
nan,tengine/2.1.2,46
nan,tr069 http server,46
nan,ibm_http_server,46
nan,hiawathav6.14,46
nan,httpd/3.0,46
nan,ispy,46
nan,4fd7d672-bbd6-f059-9dff-51e02d6e25ee,46
nan,ipc gk7101 httpserver 1.0,46
nan,ipc/2.0.0,46
nan,varnish,46
nan,docker/20.10.2 (linux),46
nan,rainloop,46
nan,2.2.23,46
nan,eudemon auth-http server 1.0,46
nan,destiny,46
nan,chan-cubox,46
nan,wildfly 8,46
nan,upnp/1.0 dlnadoc/1.50,46
nan,squid/3.1.20,46
nan,hipcam realserver/v1.0,46
nan,ewon,46
nan,rumpus,45
nan,ruijie servrer,45
nan,task-server-nas,45
nan,cherrypy/4.0.0,45
nan,mcdhttpd/1.2,45
nan,nginx/1.25.1,45
nan,akamaighost,45
nan,nostromo 1.9.4,45
nan,wvs,45
nan,lps-0.1,45
nan,srs/3.0.85(ouxuli),45
nan,squid/4.14,45
nan,"linux,webaccess/1.0,dir-850lver1.15",45
nan,ms-mfc-httpsvr/1.0,45
nan,net-os 5.xx upnp/1.0,45
nan,"linux/4.4.180+, upnp/1.0, portable sdk for upnp devices/1.12.1",45
nan,david-webbox/12.00a (1291) win32,45
nan,climatix,45
nan,blueserver/5.3.2.9,45
nan,panweb server/ -,45
nan,realtronwebserver1.1,45
nan,beaver,45
nan,uhttpd/1.0.0,45
nan,webcache,45
nan,arcadyan httpd 1.0,45
nan,gws/100.0,45
nan,i4m web,45
nan,prometheus,45
nan,unknown,45
nan,unkown,45
nan,xxxx,45
nan,jaws/1.0jan302016,45
nan,lighttpd/1.4.45,45
nan,miniserv/1.990,45
nan,vb,45
nan,hipcam,45
nan,jetty(i-jetty6.0-1650699557),45
nan,ipcgk7101httpserver1.0,45
nan,realvnc/e4,45
nan,bitninja captcha server,45
nan,ipcamera-web,45
nan,windriver-webserver/4.5,45
nan,start http-server/1.1,44
windows,microsoft-iis/5.1,44
nan,qualvision -httpserver,44
nan,blueiris-http/1.1,44
nan,qws,44
nan,fibjs,44
nan,"web hosting by dot enterprise co.,ltd (http://www.de.co.th/)",44
nan,netdataembeddedhttpserverv1.32.1-37-nightly,44
nan,lighttpd/1.4.35,44
nan,adong,44
nan,mbedthis-appweb/2.4.2,44
nan,medusa/1.12,44
nan,ecos embedded web server,44
nan,kws-1043n-svr,44
nan,ideawebserver/6.2.1,44
nan,topsec,44
nan,cimer,44
nan,docker/19.03.9 (linux),44
nan,virata-emweb/r6_2_1,44
nan,aircube,44
nan,dnvrs-webs,44
nan,darkstat/3.0.718,44
nan,"linux/5.10.60-qnap,upnp/1.0,portablesdkforupnpdevices/1.6.22",44
nan,fwebserver,44
nan,-,44
nan,apache-coyote/1.1,44
linux,linux/2.4 upnp/1.0 brcm400/1.0,44
nan,basehttp/0.6python/3.8.5,44
nan,"linux,webaccess/1.0,dir-850lver1.13",44
nan,rg/device 10.x,44
nan,apache/2.0.43 (win32) mod_jk/1.2.2-beta-1,44
nan,microsoft-httpapi/2.0,44
nan,jfinal 4.9.17,44
nan,jetty(9.4.44.v20210927),44
nan,saia pcd3.m5340/1.16.69,44
nan,jetty/3.1.8 (windows 2000 5.0 x86),44
nan,pam360,44
nan,tsbox,44
nan,webserver/1.0 upnp/1.0,44
nan,geowebserver 5.0.0.0,44
nan,rcell,44
nan,sy8033,44
nan,gw,44
raspbian,apache/2.4.25 (raspbian),44
nan,cpe file server,44
nan,hasp lm/16.00,44
debian,apache/2.4.56 (debian),44
nan,lighttpd/1.4.39,44
nan,jetty(9.3.z-snapshot),44
nan,nws/1.0,44
nan,sp-xml,44
nan,gws,44
nan,nperf/2.2.0 2019-04-02,44
nan,jetty(6.1.26),44
nan,squid,44
nan,web server/1.0,44
nan,java composer server 2.1,43
nan,synopc,43
nan,prtg,43
nan,polycom soundpoint ip telephone httpd,43
nan,couchdb/2.1.0 (erlang otp/17),43
nan,csi web server 1.05,43
nan,p-660hw-t1 v3,43
nan,lighttpd/1.4.25-devel-v2.2.24-45-gc66fb0e4,43
nan,debut/1.30,43
nan,h264dvr 1.0,43
nan,funshionservice1.0.5.8beta,43
nan,fsm-webs,43
nan,openresty/1.21.4.1,43
nan,goahead-webs,43
nan,miniserv/2.000,43
nan,linux upnp/1.0 huawei-atp-igd,43
nan,mochiweb/1.0 (any of you quaids got a smint?),43
nan,moxahttp/2.3,43
nan,"linux/2.6.21, upnp/1.0, portable sdk for upnp devices/1.3.1",43
nan,soyal technology webserver 2.0,43
nan,switch,43
nan,niagara web server/1.1,43
nan,resin/3.0.19,43
nan,httpd/2.0,43
nan,srs/4.0.177(leo),43
nan,lexmark_web_server,43
nan,oracle xml db/oracle database,43
nan,oracle xml db/oracle9i enterprise edition release 9.2.0.1.0 - production,43
nan,dosarrest,43
nan,python/3.10 aiohttp/3.9.5,43
nan,goahead-webs/2.5.0,43
nan,servrer,43
nan,cherrypy/3.1.2 wsgi server,43
nan,vws 1.7.12,43
nan,websphere application server/7.0,43
nan,virtual web 0.9,43
nan,websserver,43
nan,thttpd/2.25b-lxc 29dec2003,43
nan,werkzeug/0.14.1 python/3.7.3,43
nan,tieline,43
nan,windriver-webserver/4.7,43
nan,wingftpserver(tonyweb),43
nan,cherrypy/10.2.2,43
nan,twistedweb/17.9.0,43
nan,check point svn foundation,43
nan,centehttpd/1.1,43
nan,backupsystem,43
nan,twistedweb/14.0.0,43
nan,"zlmediakit(git hash:b4207240,branch:master,build time:nov  2 2021 11:36:02)",43
nan,adserver,43
nan,trend chip upnp/1.0 dms,43
unix,apache/2.2.0 (unix) mod_ssl/2.2.0 openssl/0.9.7g php/5.1.1,43
nan,tp-linkhttpd/1.0,43
nan,testapp-1.0.0,43
windows,apache/2.4.9 (win32) openssl/1.0.1g php/5.5.11,43
nan,web-server,43
nan,squid/3.3.8,42
nan,httpd/1.0,42
nan,router webs,42
nan,miniwebserver1.0skyworthcorp2017.,42
nan,icecast 2.4.4,42
nan,rompager/4.37,42
nan,ats/7.0.0,42
nan,microsoft-azure-application-gateway/v2,42
nan,aeserver,42
nan,lighttpd/1.4.19,42
nan,cherrypy/3.2.2,42
nan,mbedthis-appweb/0.0.0,42
nan,ecos,42
nan,uc-httpd/1.0.0,42
nan,wcy_webserver/2.0,42
nan,udpxy 1.0-23.10 (prod) standard [linux 3.18.67 x86_64],42
nan,h3c-cvm,42
nan,barracudahttp 4.0,42
nan,cowboy,42
nan,jaws/1.0 aug 26 2015,42
nan,hfs 2.1 beta17,42
nan,lighttpd/1.4.28-devel-9217,42
nan,infosec/1.0.0,42
nan,webswing.org,42
nan,jexus/5.8.2.21 linux,42
nan,stoneoim,42
nan,xovis pc series,42
nan,lte router,42
nan,4d/18.3.0,42
nan,jetty/5.1.10 (windows server 2008/6.1 amd64 java/1.6.0_07,42
nan,nginx/1.21.3,42
nan,d7b452-d70-1255-4515-9b56f13a6dab,42
nan,coruscant,42
nan,swoole-http-server,42
nan,minio console,42
nan,webio embedded server v1.0,42
nan,"linux,stunnel/1.0,dir-850lver1.13",42
nan,mormot (windows) microsoft-httpapi/2.0,42
nan,srs/5.0.98(bee),42
nan,kerio connect 9.2.8 patch 1,42
nan,mongo/2.0,42
nan,toshiba tec corporation,42
nan,miniwebserver1.0zxiccorp2005.,42
nan,resin/3.1.8,41
nan,henry/1.1,41
nan,resin/4.0.40,41
nan,o2switch-powerboost-v3,41
nan,728/09824httpserverversion2.0-teldats.a.,41
nan,evernote/1.0,41
nan,sslvpn 1.0,41
nan,jaws/1.0 sep 18 2018,41
nan,basehttp/0.3 python/2.7.17,41
nan,cassini/5.0.4.0,41
nan,tp-link router,41
nan,satrack,41
nan,alphapd,41
nan,boa/0.94.14rc19,41
nan,boa/0.94.14rc21,41
windows,microsoft-iis/8.0,41
nan,gerenciado por storehosting.com.br,41
nan,nexus/3.9.0-01 (oss),41
nan,live555 streaming media v2020.04.24,41
nan,linux/3.10.0_s40 upnp/1.0 portable sdk for upnp devices/1.6.12,41
nan,"linux/2.x.x, upnp/1.0, pvconnect upnp sdk/1.0, twonky upnp sdk/1.1",41
nan,"linux/2.6.36, upnp/1.0, portable sdk for upnp devices/1.3.1",41
nan,grandstream/1.10,41
nan,none,41
nan,jetty(7.6.13.v20130916),41
nan,squid/3.1.23,41
nan,hidden,41
nan,mginx,41
nan,beegoserver:1.11.1,41
nan,gunicorn/19.9.0,41
nan,wsgiserver/0.2cpython/3.7.0,41
nan,miips-2,41
nan,web server 1.1,41
nan,python/3.7 websockets/10.1,41
nan,e7fd6736-5b0f-4af1-54a0-c95a00f208b,41
nan,wintendo,41
nan,httpd_ac1.0,41
nan,httpd_four-faith,41
nan,supernode server/2.3.47,41
nan,titan,41
nan,ar,41
nan,lighttpd/1.4.32,41
nan,app07,41
nan,openresty/1.9.15.1,41
nan,cisco-ios,41
nan,clayster.library.internet/1.1,41
nan,webserver(ipcamera),41
nan,jaws/1.0 apr  8 2014,41
nan,thunderdcdn,41
nan,werkzeug/0.12.2 python/3.6.2,41
nan,e2ee websocket server/0.7.0,41
nan,miniserv/1.610,41
nan,vdnserver/2017,41
nan,cvm,41
nan,embedthis-appweb/3.4.2,41
nan,python/3.10 aiohttp/3.10.10,41
nan,embedthis-http/4.0.0,41
nan,cradlepointhttpservice/1.0.0,41
nan,twistedweb/8.2.0,41
nan,mini_httpd/1.21 18oct2014,41
nan,mini web server 1.0 zte corp 2005.,41
nan,boa/0.94.14,41
nan,mini_httpd/1.27 07mar2017,41
nan,easy-html,41
nan,hmhttpd/1.24-20160808,41
nan,glassfish server open source edition  4.1.2,40
nan,k1,40
nan,wts/1.2,40
nan,anytermd,40
nan,intel(r) active management technology 9.1.30,40
nan,gen5th/1.33.00,40
nan,localhost,40
nan,kangle/3.5.19,40
nan,jetty(winstone-2.9),40
nan,kangle/3.5.8.2,40
nan,ipcamera-webs/2.5.0 peersec-matrixssl/3.1.3-open,40
nan,plkwebserver,40
nan,webserver/0.0.0,40
nan,xfinity broadband router server,40
nan,"linux,webaccess/1.0,dir-850lver1.06",40
nan,goahead-webs/2.5.0peersec-matrixssl/3.1.3-open,40
nan,indy/9.0.50,40
nan,axelwebserver-1.0,40
nan,wsgiserver/0.2 cpython/3.7.7,40
nan,reposify,40
nan,hfs 2.2e,40
nan,twistedweb/20.3.0,40
nan,rest-webs,40
nan,hanlong unicron v1.0,40
nan,asterisk/13.13.1,40
nan,lighttpd/1.4.37,40
nan,twistedweb/13.2.0,40
nan,gunicorn/19.4.5,40
nan,jaws/1.0 sep 30 2016,40
nan,apache (red hat linux),40
nan,lighttpd (slitaz gnu/linux),40
nan,werkzeug/0.8.3 python/2.6.3,40
nan,werkzeug/0.16.1 python/3.8.10,40
nan,ngnix,40
nan,python/3.10 aiohttp/3.10.5,40
nan,iplanet-web-proxy-server/3.6,40
nan,shield,40
nan,streamsystem,40
nan,cloud,40
nan,mhttp 0.1.6296.32466,40
nan,ag [47],40
nan,"zlmediakit(git hash:1292ec6,branch:master,build time:sep 29 2021 18:28:24)",40
unix,apache/2.4.46 (unix) openssl/1.1.1j,40
nan,mathopd/1.5p6,40
nan,srs/4.0.161(leo),40
nan,thttpd,40
nan,fc03-https,40
nan,srs/5.0.12(leo),40
nan,ezproxy,40
nan,mini web server 1.0 skyworth corp 2017.,40
nan,squid/3.5.20,40
nan,miniserv/1.970,40
nan,mongoose/6.6,40
nan,cisco-cucm11.5,40
nan,demo-webs,40
nan,netwave ip camera,40
nan,docker/17.03.0-ce (linux),40
nan,defaultipplatform,40
nan,screenconnect/21.14.5924.8013-1372366428 microsoft-httpapi/2.0,40
nan,sanoil bayi portal,40
nan,openresty/1.11.2.1,39
nan,flowweb/1.4.28,39
nan,oracle-application-server-11g,39
nan,websockify python/2.7.12,39
nan,squid/3.5.27,39
nan,apn httpd v1.4,39
nan,web,39
nan,abyss/2.7.0.0-x1-win32 abysslib/2.7.0.0,39
nan,httpd 1.1,39
nan,openresty/1.17.8.2,39
nan,resin/3.1.6,39
nan,whoami,39
nan,ipoffice/,39
nan,iplanet-web-proxy-server/3.6-sp5,39
nan,titansdk/1.6.11,39
nan,webserver/2.0,39
nan,mini_httpd,39
nan,nexus/3.0.0-03 (oss),39
nan,reecamipcamera,39
nan,twistedweb/19.7.0,39
nan,streamsystem 4.0,39
nan,jetty(9.4.9.v20180320),39
nan,instafogging/1.21.4.1,39
nan,neobox web server,39
nan,"sierra wireless inc, embedded server",39
nan,fuckyou,39
nan,alpha_webserv,39
nan,"linux/3.18.20, upnp/1.0, portable sdk for upnp devices/1.6.21",39
nan,"linux/2.6.5-it0, upnp/1.0, intel sdk for upnp devices /1.2",39
nan,splunkd,38
nan,saia pcd2m5540/1.10.16,38
nan,sepm,38
nan,rapid logic/1.1,38
nan,openresty/1.15.8.3,38
nan,autobahnpython/21.3.1,38
nan,topwebserver,38
nan,jaws/1.0may132013,38
unix,apache/1.3.28 (unix) mod_ssl/2.8.15 openssl/0.9.8d,38
nan,prtg/13.1.2.1462,38
nan,dvrdvs-webs,38
nan,rtkweb0.9,38
nan,fn-httpd 1.0 [http/1.1],38
nan,avtech/1.0,38
nan,streamserver,38
nan,"linux,webaccess/1.0,dir-860lver1.07",38
nan,aterm(ht)/1.0.0,38
nan,powered by electronic arts,38
nan,keil-eweb/2.0,38
unix,apache/1.3.31 (unix),38
nan,cjserver/1.1,38
nan,mongoose/6.11,38
nan,boa/0.93.15,38
nan,kx-ns1000,38
nan,lancom,38
nan,moxahttp/1.0,38
nan,opnsense,38
nan,intoto http server v1.0,38
nan,iologik web server/1.0,38
nan,funshionservice1.0.1.104beta,38
nan,tr069 client tcp connection request server,38
nan,lte router operation and management,38
nan,appwebs/,38
nan,docker/20.10.6 (linux),38
nan,httpd_gw 1.0,38
nan,pve-api-daemon/3.0,38
nan,dr.com server,38
nan,xavante 2.2.0 embeded,38
nan,los http server 1.0,38
nan,websockifypython/2.7.5,38
nan,"cutebi network tunnel, (%>w<%)",38
nan,goaheadwebs,38
nan,openresty/1.11.2.5,38
nan,zqwl-webserver-v1.0,38
nan,wsgiserver/0.2 cpython/3.9.6,38
nan,wanduck,38
nan,"linux/2.6.37, upnp/1.0, portable sdk for upnp devices/1.4.7",38
nan,roku/10.0.0 upnp/1.0 roku/10.0.0,38
nan,sitescope/9.0 04:38:55 2007-08-19 build 911,38
nan,goahead-webs/2.5.0 peersec-matrixssl/3.1.3-open,38
nan,gunicorn/18.0,38
nan,zte web server 1.0 zte corp 2015.,38
nan,cdyc_web_svr1.0,38
nan,ce_e,38
nan,squid/4.11,38
nan,caddy v0.11.1,38
nan,"linux/2.6.30.9-cig-4, upnp/1.0, portable sdk for upnp devices/1.6.18",38
nan,ttyd/1.6.3 (libwebsockets/4.3.2-419f7c7),38
nan,calibre 7.14.0,38
nan,yealink embed httpd,38
nan,beegoserver:2.0.0,37
nan,iis8.0,37
nan,oracle-iplanet-web-server/7.0,37
nan,lswebserver/1.0.0,37
nan,squid/4.10,37
nan,funshionservice1.0.1.63beta,37
nan,indy/9.00.10,37
nan,docker/1.11.1 (linux),37
nan,tengine/2.3.2,37
nan,python/3.8 aiohttp/4.0.0a1,37
nan,jetty(8.y.z-snapshot),37
nan,keil-eweb/2.1,37
nan,comfilehmi runtime,37
nan,netdataembeddedhttpserver20200416-1574-g011c015a6,37
nan,werkzeug/2.0.1 python/3.6.9,37
nan,ttyd/1.6.3(libwebsockets/4.3.2-419f7c7),37
nan,jaws/1.0 aug 21 2013,37
nan,apache/2.2.9 (win32) dav/2 mod_ssl/2.2.9 openssl/0.9.8i mod_autoindex_color php/5.2.6,37
nan,cpanel,37
nan,miniwebserver1.0ztecorp2005.,37
nan,jetty/5.1.x(linux/2.6.26-2-686i386java/1.6.0_22,37
unix,apache/2.4.27 (unix) openssl/1.0.2k,37
linux,linux/2.x upnp/1.0 avtech/1.0,37
nan,icecast 2.4.2,37
nan,web-router,37
nan,swift1.0,37
nan,hfs 2.3c,37
nan,wildfly/10,37
nan,python/3.10 aiohttp/3.8.4,37
nan,oatpp/1.2.5,37
nan,glassfish server open source edition  4.0,37
nan,hid-web,37
nan,58f5b853-36b6-597e-16c6-4610e7fd83a4,37
nan,mobilesmarts/5.2.46.14758 microsoft-httpapi/2.0,37
nan,bks400,37
nan,w3httpd/1.0,37
nan,srs/4.0.201(leo),37
nan,openresty/1.11.2.2,37
nan,gf-app,37
nan,nexus/3.13.0-01 (oss),37
nan,ttyd/1.6.3(libwebsockets/3.1.0),37
nan,tp-link httpd/1.0,37
nan,cisco-ccspcwmptcpcr/1.0,37
nan,reecam ip camera,37
nan,wmi http server,37
nan,astra,37
nan,gunicorn/20.0.4,37
nan,cups/1.7 ipp/2.1,37
nan,sunny webbox,37
nan,flowproxy,37
nan,e2ee server 2.0,37
nan,httpd  1.0,37
nan,t1-httpd/1.4.43,36
nan,virtualweb0.9,36
nan,virata-emweb/r6_0_1,36
nan,thttpd/2.25b php/20030920,36
nan,cpe-server/1.0 supports only get,36
nan,crushftp http server,36
nan,ipc@chip,36
nan,ms-mfc-321-1/1.1,36
nan,teleeye/1.1,36
nan,webs/,36
nan,viaweb system/1.0.0 (http://www.viawebsystem.com.br),36
nan,electrex httpserver,36
nan,orientdb server v.2.2.22 (build fb2b7d321ea8a5a5b18a82237049804aace9e3de),36
nan,cam-webs,36
nan,octopus deploy/ microsoft-httpapi/2.0,36
nan,b&r web server  ver. {2-250416-25},36
nan,h3c-miniware-webs,36
nan,wsgiserver/0.2 cpython/3.8.5,36
nan,restlet-framework/3.0m1,36
nan,wso2 carbon server,36
nan,cambium http server,36
nan,gs-webs,36
nan,router,36
nan,indy/9.0.11,36
nan,bigip,36
nan,brcm http server,36
nan,zk web server,36
nan,simplehttp/0.6 python/2.7.16,36
nan,www server/1.1,36
nan,gem ver1,36
nan,gaaa,36
nan,xcdn,36
nan,nginx/1.21.6,36
nan,hfs 2.4.0 rc6,36
nan,hfs 2.4.0 rc7,36
nan,starthttp-server/1.1,36
nan,citrix web pn server,36
nan,python/3.11 aiohttp/3.11.13,36
nan,va web server,36
nan,openresty/1.9.3.1,36
nan,sw-cp-server,36
nan,werkzeug/2.2.3 python/3.10.11,36
nan,tcgo-server/0.25.3,36
nan,webbox-20,36
nan,supersign,36
nan,ds67x0,36
nan,mini_httpd/1.30 26oct2018,36
nan,cherrypy/3.2.5,36
nan,wintendo1.3.3.7,36
nan,jetty(9.2.14.v20151106),36
nan,"hp http server; hp hp officejet pro 8720 - d9l19a; serial number: cn81hc6060; built:wed jan 27, 2021 02:31:26pm {wmp1cn2105ar}",36
nan,avigilongateway/1.0 microsoft-httpapi/2.0,36
